city,year,crime_name,incidences,rate
Agra,2014,Assault on women with intent to outrage her modesty,207,25.7
Agra,2014,Insult to the modesty of women,0,0
Ahmedabad,2014,Assault on women with intent to outrage her modesty,162,5.4
Ahmedabad,2014,Insult to the modesty of women,3,0.1
Allahabad,2014,Assault on women with intent to outrage her modesty,96,17.1
Allahabad,2014,Insult to the modesty of women,1,0.2
Amritsar,2014,Assault on women with intent to outrage her modesty,45,8.1
Amritsar,2014,Insult to the modesty of women,2,0.4
Asansol,2014,Assault on women with intent to outrage her modesty,158,26.6
Asansol,2014,Insult to the modesty of women,1,0.2
Aurangabad,2014,Assault on women with intent to outrage her modesty,227,39.9
Aurangabad,2014,Insult to the modesty of women,5,0.9
Bengaluru,2014,Assault on women with intent to outrage her modesty,680,16.8
Bengaluru,2014,Insult to the modesty of women,57,1.4
Bhopal,2014,Assault on women with intent to outrage her modesty,289,32.2
Bhopal,2014,Insult to the modesty of women,13,1.4
Chandigarh,2014,Assault on women with intent to outrage her modesty,78,16.8
Chandigarh,2014,Insult to the modesty of women,1,0.2
Chennai,2014,Assault on women with intent to outrage her modesty,59,1.4
Chennai,2014,Insult to the modesty of women,157,3.6
Coimbatore,2014,Assault on women with intent to outrage her modesty,8,0.7
Coimbatore,2014,Insult to the modesty of women,0,0
Delhi,2014,Assault on women with intent to outrage her modesty,3810,50.3
Delhi,2014,Insult to the modesty of women,1111,14.7
Dhanbad,2014,Assault on women with intent to outrage her modesty,18,3.2
Dhanbad,2014,Insult to the modesty of women,0,0
Durg-Bhilainagar,2014,Assault on women with intent to outrage her modesty,194,37.5
Durg-Bhilainagar,2014,Insult to the modesty of women,9,1.7
Faridabad,2014,Assault on women with intent to outrage her modesty,94,14.4
Faridabad,2014,Insult to the modesty of women,16,2.4
Ghaziabad,2014,Assault on women with intent to outrage her modesty,168,15.2
Ghaziabad,2014,Insult to the modesty of women,8,0.7
Gwalior,2014,Assault on women with intent to outrage her modesty,272,53
Gwalior,2014,Insult to the modesty of women,19,3.7
Hyderabad,2014,Assault on women with intent to outrage her modesty,393,10.4
Hyderabad,2014,Insult to the modesty of women,87,2.3
India,2014,Assault on women with intent to outrage her modesty,82235,13.7
India,2014,Insult to the modesty of women,8735,1.6
Indore,2014,Assault on women with intent to outrage her modesty,301,29
Indore,2014,Insult to the modesty of women,31,3
Jabalpur,2014,Assault on women with intent to outrage her modesty,221,36.6
Jabalpur,2014,Insult to the modesty of women,31,5.1
Jaipur,2014,Assault on women with intent to outrage her modesty,455,31.3
Jaipur,2014,Insult to the modesty of women,0,0
Jamshedpur,2014,Assault on women with intent to outrage her modesty,30,4.7
Jamshedpur,2014,Insult to the modesty of women,0,0
Jodhpur,2014,Assault on women with intent to outrage her modesty,212,39.4
Jodhpur,2014,Insult to the modesty of women,3,0.6
Kannur,2014,Assault on women with intent to outrage her modesty,47,5.3
