city,latitude,longitude
"Agra",27.17667,78.008075
"Ahmedabad",23.022505,72.571362
"Allahabad",25.435801,81.846311
"Amritsar",31.633979,74.872264
"Asansol",23.673945,86.952395
"Aurangabad",19.876165,75.343314
"Bengaluru",12.971599,77.594563
"Bhopal",23.259933,77.412615
"Chandigarh",30.733315,76.779418
"Chennai",13.08268,80.270718
"Coimbatore",11.016845,76.955832
"Delhi",28.613939,77.209021
"Dhanbad",23.795653,86.430386
"Durg-Bhilainagar",21.200918,81.333925
"Faridabad",28.408912,77.317789
"Ghaziabad",28.669157,77.453758
"Gwalior",26.218287,78.182831
"Hyderabad",17.385044,78.486671
"Indore",22.719569,75.857726
"Jabalpur",23.181467,79.986407
"Jaipur",26.912434,75.787271
"Jamshedpur",22.804567,86.202875
"Jodhpur",26.238947,73.024309
"Kannur",11.874478,75.370366
"Kanpur",26.449923,80.331874
"Kochi",9.931233,76.267304
"Kolkata",22.572646,88.363895
"Kollam",8.893212,76.61414
"Kota",25.213816,75.864753
"Kozhikode",11.258753,75.78041
"Lucknow",26.846694,80.946166
"Ludhiana",30.900965,75.857276
"Madurai",9.925201,78.119775
"Malappuram",11.073182,76.074
"Meerut",28.984462,77.706414
"Mumbai",19.075984,72.877656
"Nagpur",21.1458,79.088155
"Nasik",19.997453,73.789802
"Patna",25.594095,85.137565
"Pune",18.52043,73.856744
"Raipur",21.251384,81.629641
"Rajkot",22.303895,70.80216
"Ranchi",23.3441,85.309562
"Srinagar",34.083671,74.797282
"Surat",21.17024,72.831061
"Thiruvananthapuram",8.524139,76.936638
"Thrissur",10.527642,76.214435
"Tiruchirappalli",10.790483,78.704673
"Vadodara",22.307159,73.181219
"Varanasi",25.317645,82.973914
"Vasai-Virar",19.391928,72.839732
"Vijayawada",16.506174,80.648015
"Vishakhapatnam",17.686816,83.218482
