crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.1
Agrarian riots,,,,,0.0
Arson,0.4,0.3,0.5,0.3,0.2
Assault on women with intent to outrage her modesty,1.8,1.3,2.5,9.6,8.1
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.3
Attempt to commit murder,7.0,6.3,6.8,4.6,6.3
Attempt to commit rape,,,,,1.4
Auto theft,10.3,12.0,12.6,8.4,7.9
Burglary,8.2,9.9,13.3,8.6,10.7
Caste conflict riots,,,,,0.0
Causing death by negligence,6.9,5.6,6.9,6.6,5.2
Causing injuries under rash driving/road rage,,,,,6.4
Cheating,27.2,22.0,22.5,21.5,25.9
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,1.4,0.3,0.1,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,1.6,1.4,1.1,1.4,2.0
Criminal trespass/burglary,,,,,10.3
Cruelty by husband or his relatives,15.7,18.2,19.0,18.2,27.1
Culpable homicide not amounting to murder,0.7,0.0,0.2,0.3,0.2
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.3,0.0,0.2,0.2,0.1
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.2
Deaths due to rash/negligent driving,,,,,5.1
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.8,0.7,0.9,0.7,0.5
Extortion,,,,,0.3
Forgery,,,,,0.2
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.4
Grievous hurt,,,,,12.0
House trespass & house breaking,,,,,0.4
Human trafficking,,,,,0.0
Hurt,15.0,13.0,11.3,13.3,12.1
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.4
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.7,0.2,0.0,0.7,0.4
Kidnapping,,,,,0.3
Kidnapping & abduction,5.0,3.6,4.4,5.2,6.6
Kidnapping & abduction in order to murder,,,,,0.3
Kidnapping & abduction of others,0.8,0.8,,0.8,
Kidnapping & abduction of women and girls,7.8,6.1,8.1,9.6,
Kidnapping & abduction of women to compel her for marriage,,,,,8.5
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.6,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,1.0
Murder,5.2,2.7,3.5,1.5,2.4
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,60.8,41.0,43.9,36.8,39.4
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,2.1
Other rape,4.3,3.6,4.9,5.2,0.03333333333333333
Other rape other than custodial,,,,,5.8
Other theft,15.1,20.9,22.6,13.5,19.5
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,1.8,1.4,1.2,0.4,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,4.3,3.6,4.9,5.2,6.1
Rape other than custodial,,,,,6.1
Riots,0.0,0.0,0.0,0.0,0.0
Riots others,,,,,0.0
Robbery,0.9,1.0,2.1,0.5,1.1
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,8.1
Sexual harassment and molestation of women,2.5,1.4,2.5,10.3,8.5
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,25.4,32.9,35.1,21.9,27.4
Total cognizable crimes under IPC,181.3,152.6,165.9,139.5,168.8
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.3
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
