crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,,2.1,1.6,2.4,3.4
Assault on women with intent to outrage her modesty,,28.4,26.8,34.7,37.5
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,,4.5,3.7,3.7,3.2
Attempt to commit rape,,,,,0.8
Auto theft,,22.9,31.9,28.5,34.3
Burglary,,41.4,31.3,34.7,29.9
Caste conflict riots,,,,,0.0
Causing death by negligence,,21.1,19.0,18.2,16.7
Causing injuries under rash driving/road rage,,,,,85.7
Cheating,,12.9,10.3,12.0,8.6
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.6
Counterfeiting,,0.8,0.1,0.2,0.6
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,1.3,1.2,0.9,1.2
Criminal trespass/burglary,,,,,0.0
Cruelty by husband or his relatives,,18.5,18.7,27.2,27.8
Culpable homicide not amounting to murder,,0.2,0.1,0.1,0.0
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.4,0.1,0.1,0.2
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,16.7
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.0,1.2,1.4,1.7
Extortion,,,,,0.2
Forgery,,,,,0.1
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,3.9
House trespass & house breaking,,,,,29.9
Human trafficking,,,,,0.3
Hurt,,16.8,12.3,10.7,3.9
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,1.7
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,6.8,4.4,3.3,1.7
Kidnapping,,,,,10.8
Kidnapping & abduction,,6.8,4.0,8.7,20.9
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,,1.3,,2.3,
Kidnapping & abduction of women and girls,,11.2,6.8,13.1,
Kidnapping & abduction of women to compel her for marriage,,,,,4.6
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.8,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,4.3,3.8,2.5,3.8
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,460.4,395.2,338.8,229.5
Other cases of assault on women to outrage her modesty,,,,,37.5
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,7.8
Other rape,,11.8,13.5,15.6,0.06666666666666667
Other rape other than custodial,,,,,10.2
Other theft,,46.1,36.4,32.4,36.3
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.2,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,,11.8,13.5,15.6,10.2
Rape other than custodial,,,,,10.2
Riots,,3.3,2.0,2.4,3.2
Riots others,,,,,3.2
Robbery,,5.5,2.4,3.6,4.9
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.0
Sexual harassment and molestation of women,,35.1,31.3,38.0,39.2
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,,69.0,68.2,60.9,70.6
Total cognizable crimes under IPC,,683.0,586.8,540.1,526.1
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.5
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.6
Voyeurism,,,,,0.0
