crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.3,0.6,1.3,0.8,0.3
Assault on women with intent to outrage her modesty,4.5,4.2,3.9,6.0,10.4
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,2.6,1.8,2.1,1.9,2.1
Attempt to commit rape,,,,,0.1
Auto theft,27.9,23.5,17.7,17.5,18.0
Burglary,16.4,8.9,8.3,8.5,9.7
Caste conflict riots,,,,,0.1
Causing death by negligence,9.8,6.5,6.5,6.8,5.7
Causing injuries under rash driving/road rage,,,,,29.1
Cheating,36.5,24.1,27.5,30.7,33.0
Communal riots,,,,,0.1
Counterfeit currency & bank notes total,,,,,0.5
Counterfeiting,0.5,0.6,0.3,0.6,0.5
Counterfeiting currency - notes or bank notes,,,,,0.1
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,1.7,1.0,0.9,1.0,1.3
Criminal trespass/burglary,,,,,7.9
Cruelty by husband or his relatives,37.7,36.0,35.6,39.3,34.2
Culpable homicide not amounting to murder,0.1,0.1,0.1,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.1,0.1,0.2,0.1,0.1
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.3
Deaths due to rash/negligent driving,,,,,5.4
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.2,1.0,0.6,1.0,0.6
Extortion,,,,,0.6
Forgery,,,,,0.6
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,1.5
House trespass & house breaking,,,,,1.8
Human trafficking,,,,,0.1
Hurt,61.9,43.0,43.6,39.9,1.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.1
Insult to modesty of women at other places,,,,,1.6
Insult to modesty of women in other places related to work,,,,,0.6
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,1.6,2.5,3.7,2.4,2.3
Kidnapping,,,,,3.0
Kidnapping & abduction,2.2,1.2,1.1,1.7,4.8
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,1.4,0.7,,1.0,
Kidnapping & abduction of women and girls,1.1,1.0,0.8,1.4,
Kidnapping & abduction of women to compel her for marriage,,,,,0.2
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.7,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,2.4,1.5,1.3,1.5,1.5
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,52.0,30.4,37.8,36.6,72.1
Other cases of assault on women to outrage her modesty,,,,,5.7
Other caste conflict riots,,,,,0.1
Other kidnapping & abduction,,,,,1.7
Other rape,1.2,1.6,2.0,2.7,0.03333333333333333
Other rape other than custodial,,,,,3.3
Other theft,61.0,33.5,30.0,36.3,37.0
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.1
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,1.2,1.6,2.0,2.7,3.3
Rape other than custodial,,,,,3.3
Riots,9.3,2.8,4.6,1.5,0.7
Riots others,,,,,0.4
Robbery,1.0,0.5,0.7,0.6,0.7
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,3.1
Sexual harassment and molestation of women,6.1,6.6,7.6,8.4,12.8
Stalking,,,,,0.9
Student riots,,,,,0.2
Theft,88.8,57.0,47.7,53.8,55.1
Total cognizable crimes under IPC,317.1,202.1,206.4,211.1,244.4
Unlawful assembly,,,,,0.1
Unnatural offences,,,,,0.1
Use of criminal force with intent to disrobe women,,,,,0.5
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.3
Voyeurism,,,,,0.3
