crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.2
Arson,0.2,0.8,0.7,1.0,0.8
Assault on women with intent to outrage her modesty,7.9,8.6,6.3,19.5,31.3
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,2.9,2.7,2.7,3.1,3.5
Attempt to commit rape,,,,,0.4
Auto theft,153.3,112.2,134.1,189.3,166.4
Burglary,33.3,28.9,31.7,40.3,40.0
Caste conflict riots,,,,,0.0
Causing death by negligence,21.5,24.6,23.1,23.8,26.1
Causing injuries under rash driving/road rage,,,,,73.1
Cheating,135.4,89.7,88.7,126.9,150.8
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.3,0.1,0.2,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,11.6,8.8,7.5,9.7,10.4
Criminal trespass/burglary,,,,,33.7
Cruelty by husband or his relatives,49.5,64.4,64.8,76.3,79.4
Culpable homicide not amounting to murder,0.3,0.2,0.2,0.3,0.2
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.2,0.3,0.2,0.3,0.1
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.1
Deaths due to rash/negligent driving,,,,,26.0
Disclosure of identity of victims,,,,,0.0
Dowry deaths,2.1,2.7,2.1,1.4,2.3
Extortion,,,,,0.4
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.7
Grievous hurt,,,,,0.2
House trespass & house breaking,,,,,6.2
Human trafficking,,,,,0.0
Hurt,25.7,24.4,21.1,25.5,0.2
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.0
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.0,0.0,0.0,0.0
Kidnapping,,,,,7.7
Kidnapping & abduction,8.9,8.5,7.3,17.0,21.2
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.6,1.2,,4.7,
Kidnapping & abduction of women and girls,13.3,15.5,13.1,26.1,
Kidnapping & abduction of women to compel her for marriage,,,,,6.7
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,1.1,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.5
Murder,2.8,2.7,2.6,3.4,3.5
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,211.1,214.6,199.8,228.1,199.5
Other cases of assault on women to outrage her modesty,,,,,22.3
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,10.3
Other rape,4.9,6.3,9.2,13.2,0.03333333333333333
Other rape other than custodial,,,,,17.4
Other theft,54.3,47.1,38.1,43.7,63.7
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.4,0.4,0.1,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,4.9,6.3,9.2,13.2,18.1
Rape other than custodial,,,,,18.1
Riots,5.9,4.5,2.3,3.3,2.4
Riots others,,,,,2.1
Robbery,10.9,5.8,8.4,12.5,11.6
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,3.6
Sexual harassment and molestation of women,7.9,8.6,6.3,19.5,31.3
Stalking,,,,,2.3
Student riots,,,,,0.1
Theft,207.6,159.3,172.2,233.1,230.1
Total cognizable crimes under IPC,719.3,614.9,607.8,780.6,848.4
Unlawful assembly,,,,,11.3
Unnatural offences,,,,,0.2
Use of criminal force with intent to disrobe women,,,,,3.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1
Voyeurism,,,,,0.1
