crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,,1.1,1.8,2.0,1.2
Assault on women with intent to outrage her modesty,,4.9,4.5,6.6,5.3
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,1.2
Attempt to commit murder,,0.7,0.2,0.6,0.5
Attempt to commit rape,,,,,0.0
Auto theft,,3.0,1.5,1.2,1.4
Burglary,,4.3,3.6,2.7,4.1
Caste conflict riots,,,,,0.0
Causing death by negligence,,0.1,0.0,0.0,4.1
Causing injuries under rash driving/road rage,,,,,28.7
Cheating,,2.5,2.7,4.0,2.9
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.1
Counterfeiting,,0.0,0.6,0.7,0.1
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,0.1,0.1,0.2,0.1
Criminal trespass/burglary,,,,,2.7
Cruelty by husband or his relatives,,12.1,13.3,11.1,10.1
Culpable homicide not amounting to murder,,0.1,0.2,0.0,0.2
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.1,0.2,0.2,0.0
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,4.1
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.0,0.0,0.0,0.1
Extortion,,,,,0.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,0.5
House trespass & house breaking,,,,,1.4
Human trafficking,,,,,0.0
Hurt,,21.4,21.5,17.2,0.5
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.6
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,0.9,0.6,0.6,0.6
Kidnapping,,,,,0.0
Kidnapping & abduction,,0.1,0.4,0.3,0.3
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,,0.0,,0.2,
Kidnapping & abduction of women and girls,,0.2,0.6,0.2,
Kidnapping & abduction of women to compel her for marriage,,,,,0.3
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.1,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,0.1,0.9,0.2,0.1
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,75.2,90.3,65.6,40.9
Other cases of assault on women to outrage her modesty,,,,,5.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.1
Other rape,,1.4,1.6,0.8,0.0
Other rape other than custodial,,,,,1.9
Other theft,,3.8,2.9,1.4,1.5
Political riots,,,,,3.5
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.1,0.2,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,,1.4,1.6,0.8,1.9
Rape other than custodial,,,,,1.9
Riots,,18.9,25.1,15.4,13.8
Riots others,,,,,9.9
Robbery,,3.5,1.9,1.2,2.6
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.3
Sexual harassment and molestation of women,,5.8,5.1,7.1,5.9
Stalking,,,,,0.0
Student riots,,,,,0.4
Theft,,6.8,4.4,2.6,2.9
Total cognizable crimes under IPC,,145.4,164.8,123.2,113.8
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1
Voyeurism,,,,,0.0
