crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.0,0.1,0.5,0.8,0.5
Assault on women with intent to outrage her modesty,1.6,3.0,3.8,3.2,3.0
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,4.2,3.8,5.1,3.4,3.5
Attempt to commit rape,,,,,0.0
Auto theft,22.5,14.3,13.7,15.0,26.6
Burglary,5.4,7.3,4.7,3.9,8.4
Caste conflict riots,,,,,0.0
Causing death by negligence,10.0,8.4,9.0,9.8,7.3
Causing injuries under rash driving/road rage,,,,,40.0
Cheating,10.4,12.5,20.1,18.0,16.9
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,1.8
Counterfeiting,2.6,1.4,1.4,1.6,1.8
Counterfeiting currency - notes or bank notes,,,,,1.8
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,0.7,0.7,0.5,0.3,0.5
Criminal trespass/burglary,,,,,7.8
Cruelty by husband or his relatives,9.5,9.7,8.5,12.5,9.5
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.0,0.1,0.1,0.3,0.3
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.1
Deaths due to rash/negligent driving,,,,,7.1
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.5,0.7,0.4,0.4,0.1
Extortion,,,,,2.2
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,0.3
House trespass & house breaking,,,,,0.6
Human trafficking,,,,,0.0
Hurt,10.9,11.7,16.8,13.5,0.3
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.1
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,2.7,0.5,1.1,0.3,0.1
Kidnapping,,,,,0.3
Kidnapping & abduction,1.3,1.7,4.4,2.2,1.8
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.5,0.5,,0.8,
Kidnapping & abduction of women and girls,1.2,2.5,7.0,2.7,
Kidnapping & abduction of women to compel her for marriage,,,,,1.8
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,1.0,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,2.8,2.4,2.1,2.7,2.3
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,116.0,100.3,112.1,102.9,79.0
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.7
Other rape,0.4,1.0,1.5,2.2,0.09999999999999999
Other rape other than custodial,,,,,0.8
Other theft,19.3,16.8,17.6,14.0,12.8
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,0.4,1.0,1.5,2.2,0.8
Rape other than custodial,,,,,0.8
Riots,1.4,1.7,1.8,2.5,1.6
Riots others,,,,,1.6
Robbery,6.4,5.8,5.4,7.0,8.1
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,3.0
Sexual harassment and molestation of women,4.4,3.6,4.9,3.4,3.2
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,41.8,31.1,31.4,29.1,39.4
Total cognizable crimes under IPC,223.6,196.5,223.1,207.3,220.7
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
