crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.0,0.0,0.0,0.0,0.0
Assault on women with intent to outrage her modesty,0.4,0.1,1.6,1.6,0.0
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,1.2,0.9,2.2,4.4,0.8
Attempt to commit rape,,,,,2.2
Auto theft,70.4,59.1,70.6,81.6,100.5
Burglary,28.1,20.8,22.9,24.7,27.7
Caste conflict riots,,,,,0.0
Causing death by negligence,13.4,13.8,16.2,14.4,16.0
Causing injuries under rash driving/road rage,,,,,0.0
Cheating,10.2,29.2,29.3,38.8,53.8
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.0
Counterfeiting,0.7,0.9,0.1,0.8,0.0
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,0.3,0.6,0.3,0.4,2.9
Criminal trespass/burglary,,,,,27.7
Cruelty by husband or his relatives,20.5,20.8,30.7,38.8,42.1
Culpable homicide not amounting to murder,0.2,0.0,0.2,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.9,1.6,1.4,1.3,1.4
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,16.0
Disclosure of identity of victims,,,,,0.0
Dowry deaths,3.1,4.7,5.7,6.4,4.3
Extortion,,,,,3.7
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.1
Grievous hurt,,,,,122.9
House trespass & house breaking,,,,,0.0
Human trafficking,,,,,0.0
Hurt,2.0,20.8,166.1,59.4,122.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,5.8
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.3,0.1,0.1,0.2,5.8
Kidnapping,,,,,0.0
Kidnapping & abduction,10.7,12.0,14.2,21.6,29.3
Kidnapping & abduction in order to murder,,,,,0.6
Kidnapping & abduction of others,7.3,5.9,,4.9,
Kidnapping & abduction of women and girls,6.0,13.0,25.4,35.7,
Kidnapping & abduction of women to compel her for marriage,,,,,37.4
Kidnapping for ransom,,,,,0.5
Kidnapping of others,,,2.2,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,7.6,6.5,10.9,9.7,10.0
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,294.8,197.7,86.1,321.3,246.7
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,10.6
Other rape,2.6,2.8,3.7,6.0,0.4666666666666666
Other rape other than custodial,,,,,5.5
Other theft,53.6,56.5,66.2,75.3,77.9
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,2.6,2.8,3.7,6.0,5.6
Rape other than custodial,,,,,5.6
Riots,11.4,14.3,14.4,16.5,23.0
Riots others,,,,,23.0
Robbery,7.7,5.9,4.3,7.7,7.3
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.0
Sexual harassment and molestation of women,0.7,0.2,1.7,1.8,5.8
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,124.0,115.6,136.9,156.9,178.5
Total cognizable crimes under IPC,528.2,453.9,525.1,702.8,752.1
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
