crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,,2.9,3.2,3.9,1.7
Assault on women with intent to outrage her modesty,,35.8,16.4,31.4,22.1
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,,4.6,3.3,6.4,6.3
Attempt to commit rape,,,,,0.7
Auto theft,,56.9,52.0,62.4,67.8
Burglary,,41.5,34.8,37.0,32.7
Caste conflict riots,,,,,0.0
Causing death by negligence,,18.9,12.5,15.0,12.9
Causing injuries under rash driving/road rage,,,,,104.5
Cheating,,18.2,16.8,18.0,22.4
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.3
Counterfeiting,,0.3,0.7,0.9,0.3
Counterfeiting currency - notes or bank notes,,,,,0.3
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,3.7,2.0,2.0,2.6
Criminal trespass/burglary,,,,,29.9
Cruelty by husband or his relatives,,10.8,15.8,26.6,15.3
Culpable homicide not amounting to murder,,0.1,0.1,0.2,0.2
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.3,0.1,0.2,0.2
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,2.3
Deaths due to rash/negligent driving,,,,,10.6
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.7,0.9,1.5,0.4
Extortion,,,,,1.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.7
Grievous hurt,,,,,8.8
House trespass & house breaking,,,,,2.8
Human trafficking,,,,,0.0
Hurt,,155.4,162.0,151.0,8.8
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.0
Insult to modesty of women in other places related to work,,,,,0.6
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,5.0,4.8,3.5,0.6
Kidnapping,,,,,12.9
Kidnapping & abduction,,1.4,1.5,23.7,15.2
Kidnapping & abduction in order to murder,,,,,0.1
Kidnapping & abduction of others,,0.6,,5.3,
Kidnapping & abduction of women and girls,,1.7,2.0,37.9,
Kidnapping & abduction of women to compel her for marriage,,,,,3.9
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.5,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,3.4,3.3,3.5,2.6
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.3
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,172.8,173.1,164.5,164.6
Other cases of assault on women to outrage her modesty,,,,,11.4
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.4
Other rape,,4.4,11.8,15.6,0.06666666666666667
Other rape other than custodial,,,,,15.4
Other theft,,33.3,36.5,41.5,51.6
Political riots,,,,,0.2
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.0,0.1,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.3
Rape,,4.4,11.8,15.6,16.2
Rape other than custodial,,,,,16.2
Riots,,8.7,5.0,3.8,4.0
Riots others,,,,,3.8
Robbery,,4.2,2.9,3.7,5.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,7.7
Sexual harassment and molestation of women,,40.8,21.1,34.9,22.6
Stalking,,,,,2.0
Student riots,,,,,0.0
Theft,,90.2,88.5,103.9,119.3
Total cognizable crimes under IPC,,554.1,534.0,575.8,532.1
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.4
Use of criminal force with intent to disrobe women,,,,,0.9
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
