crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.2
Agrarian riots,,,,,0.0
Arson,,1.8,1.6,2.0,2.1
Assault on women with intent to outrage her modesty,,28.7,33.7,44.6,36.6
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,,5.0,3.5,3.0,2.7
Attempt to commit rape,,,,,0.8
Auto theft,,27.0,15.9,16.2,18.9
Burglary,,22.0,19.7,18.2,18.7
Caste conflict riots,,,,,0.0
Causing death by negligence,,5.6,4.7,4.6,4.0
Causing injuries under rash driving/road rage,,,,,25.4
Cheating,,9.9,7.9,7.6,6.0
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.4
Counterfeiting,,0.3,0.2,0.2,0.4
Counterfeiting currency - notes or bank notes,,,,,0.4
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,1.3,1.2,1.5,0.7
Criminal trespass/burglary,,,,,0.0
Cruelty by husband or his relatives,,9.1,10.6,12.1,10.6
Culpable homicide not amounting to murder,,0.0,0.2,0.3,0.3
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.2,0.0,0.2,0.1
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,4.0
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.0,0.0,0.0,0.0
Extortion,,,,,0.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,0.5
House trespass & house breaking,,,,,18.7
Human trafficking,,,,,0.0
Hurt,,0.7,1.3,1.3,0.6
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,7.4
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,11.7,13.8,15.1,7.4
Kidnapping,,,,,2.9
Kidnapping & abduction,,9.3,7.9,7.1,5.6
Kidnapping & abduction in order to murder,,,,,0.2
Kidnapping & abduction of others,,0.6,,0.3,
Kidnapping & abduction of women and girls,,18.5,14.9,14.4,
Kidnapping & abduction of women to compel her for marriage,,,,,0.0
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.9,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,0.9,1.0,1.3,0.4
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,82.6,94.0,99.3,62.4
Other cases of assault on women to outrage her modesty,,,,,36.4
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,2.4
Other rape,,2.3,3.2,3.7,0.03333333333333333
Other rape other than custodial,,,,,2.0
Other theft,,11.5,7.8,10.0,10.6
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,,2.3,3.2,3.7,2.0
Rape other than custodial,,,,,2.0
Riots,,11.5,8.4,9.0,10.2
Riots others,,,,,10.2
Robbery,,2.6,1.4,2.4,2.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.2
Sexual harassment and molestation of women,,40.4,47.5,59.7,44.0
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,,38.5,23.7,26.2,29.5
Total cognizable crimes under IPC,,216.5,205.3,219.3,199.0
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.2
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
