crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,,0.5,0.4,0.4,0.6
Assault on women with intent to outrage her modesty,,10.2,11.3,8.7,11.1
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,1.7
Attempt to commit murder,,0.9,0.8,0.4,0.9
Attempt to commit rape,,,,,0.0
Auto theft,,3.3,2.7,1.5,3.1
Burglary,,4.0,3.0,4.0,4.5
Caste conflict riots,,,,,0.0
Causing death by negligence,,0.2,0.2,0.2,5.4
Causing injuries under rash driving/road rage,,,,,174.3
Cheating,,34.3,19.7,19.0,19.5
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,,0.0,0.0,0.0,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,0.4,0.7,0.8,0.8
Criminal trespass/burglary,,,,,3.3
Cruelty by husband or his relatives,,13.4,14.9,12.8,13.3
Culpable homicide not amounting to murder,,0.4,0.6,0.3,0.1
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.3,0.1,0.1,0.3
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.2
Deaths due to rash/negligent driving,,,,,5.2
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.0,0.0,0.1,0.0
Extortion,,,,,0.0
Forgery,,,,,0.2
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,3.6
House trespass & house breaking,,,,,1.1
Human trafficking,,,,,0.1
Hurt,,18.3,19.4,16.7,3.6
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,1.1
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,2.9,3.3,1.7,1.1
Kidnapping,,,,,0.0
Kidnapping & abduction,,0.6,0.7,0.1,0.4
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,,0.1,,0.0,
Kidnapping & abduction of women and girls,,1.0,0.9,0.2,
Kidnapping & abduction of women to compel her for marriage,,,,,0.0
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.2,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,0.4,0.5,0.9,0.9
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,157.0,238.1,262.0,103.4
Other cases of assault on women to outrage her modesty,,,,,7.4
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.4
Other rape,,2.9,3.6,2.9,0.09999999999999999
Other rape other than custodial,,,,,3.9
Other theft,,4.5,6.1,7.0,5.8
Political riots,,,,,0.2
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.5,0.2,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,,2.9,3.6,2.9,3.9
Rape other than custodial,,,,,3.9
Riots,,19.5,23.9,20.7,5.3
Riots others,,,,,3.9
Robbery,,1.5,1.5,1.1,1.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,2.2
Sexual harassment and molestation of women,,13.1,14.6,10.4,12.3
Stalking,,,,,0.7
Student riots,,,,,1.1
Theft,,7.8,8.8,8.5,8.9
Total cognizable crimes under IPC,,262.2,335.9,349.2,353.0
Unlawful assembly,,,,,4.5
Unnatural offences,,,,,0.1
Use of criminal force with intent to disrobe women,,,,,0.5
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.3
