crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,,0.1,0.3,0.2,0.0
Assault on women with intent to outrage her modesty,,3.3,1.7,3.5,1.9
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,,1.5,2.2,2.6,0.9
Attempt to commit rape,,,,,0.0
Auto theft,,11.0,5.1,4.2,6.5
Burglary,,3.9,4.1,4.3,4.0
Caste conflict riots,,,,,0.0
Causing death by negligence,,12.4,14.4,12.4,17.5
Causing injuries under rash driving/road rage,,,,,52.9
Cheating,,4.1,10.1,8.8,10.0
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,,0.6,0.5,0.5,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,,0.0,0.0,0.0,0.0
Criminal trespass/burglary,,,,,0.0
Cruelty by husband or his relatives,,5.4,4.7,4.9,5.2
Culpable homicide not amounting to murder,,0.1,0.0,0.0,0.0
Custodial rape,,0.0,0.0,0.0,0.0
Dacoity,,0.0,0.0,0.1,0.0
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.9
Deaths due to rash/negligent driving,,,,,16.6
Disclosure of identity of victims,,,,,0.0
Dowry deaths,,0.4,0.6,0.0,0.0
Extortion,,,,,0.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,1.3
House trespass & house breaking,,,,,4.0
Human trafficking,,,,,0.0
Hurt,,10.1,14.3,15.9,1.3
Importation of girls from foreign country,,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.6
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,,5.1,7.6,1.2,0.6
Kidnapping,,,,,0.3
Kidnapping & abduction,,2.0,2.2,0.8,0.7
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,,0.5,,0.3,
Kidnapping & abduction of women and girls,,4.1,2.5,1.0,
Kidnapping & abduction of women to compel her for marriage,,,,,0.0
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.9,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,,1.9,2.5,2.1,2.3
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,,172.6,196.9,191.6,173.4
Other cases of assault on women to outrage her modesty,,,,,1.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.4
Other rape,,1.2,1.4,1.9,0.0
Other rape other than custodial,,,,,0.6
Other theft,,20.1,19.7,18.6,23.6
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,,1.2,1.4,1.9,0.6
Rape other than custodial,,,,,0.6
Riots,,0.7,0.7,0.2,1.0
Riots others,,,,,1.0
Robbery,,2.1,5.5,4.3,2.3
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.8
Sexual harassment and molestation of women,,8.4,9.3,4.7,2.5
Stalking,,,,,0.2
Student riots,,,,,0.0
Theft,,31.1,24.8,22.8,30.0
Total cognizable crimes under IPC,,248.8,286.3,272.3,300.8
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
