crime_name,2010,2011,2012,2013,2014
Acid attack,,,,,0.1
Agrarian riots,,,,,0.0
Arson,0.3,0.3,0.3,0.4,0.4
Assault on women with intent to outrage her modesty,2.1,1.7,1.7,12.3,12.5
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.2
Attempt to commit murder,1.7,1.5,1.9,1.9,2.0
Attempt to commit rape,,,,,0.0
Auto theft,70.0,55.4,52.3,46.7,45.1
Burglary,21.4,16.2,18.3,23.2,27.6
Caste conflict riots,,,,,0.0
Causing death by negligence,12.1,8.6,8.6,9.6,11.2
Causing injuries under rash driving/road rage,,,,,162.1
Cheating,7.7,9.4,9.6,10.7,10.7
Communal riots,,,,,1.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.2,0.6,0.3,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,2.3,1.7,1.3,1.1,1.0
Criminal trespass/burglary,,,,,0.0
Cruelty by husband or his relatives,24.8,27.6,35.1,47.9,35.1
Culpable homicide not amounting to murder,0.1,0.1,0.0,0.1,0.0
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.6,0.7,0.5,0.6,0.6
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.3
Deaths due to rash/negligent driving,,,,,11.0
Disclosure of identity of victims,,,,,0.0
Dowry deaths,0.0,0.1,0.0,0.0,0.1
Extortion,,,,,0.8
Forgery,,,,,0.5
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,5.8
House trespass & house breaking,,,,,27.6
Human trafficking,,,,,0.0
Hurt,18.5,17.3,20.6,20.2,5.8
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.9
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.2,0.5,0.8,0.9
Kidnapping,,,,,1.2
Kidnapping & abduction,2.4,2.8,3.7,4.5,5.1
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.4,0.3,,0.8,
Kidnapping & abduction of women and girls,3.4,5.1,6.5,7.8,
Kidnapping & abduction of women to compel her for marriage,,,,,6.4
Kidnapping for ransom,,,,,0.1
Kidnapping of others,,,0.6,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,1.5,1.2,1.6,1.1,1.3
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.2
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,164.1,148.4,184.6,519.2,362.8
Other cases of assault on women to outrage her modesty,,,,,4.4
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.8
Other rape,0.8,1.0,1.3,2.2,0.19999999999999998
Other rape other than custodial,,,,,2.6
Other theft,32.5,27.5,21.1,20.5,23.2
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.1,0.0,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.2
Rape,0.8,1.0,1.3,2.2,2.6
Rape other than custodial,,,,,2.6
Riots,6.0,4.3,5.1,5.1,3.3
Riots others,,,,,2.3
Robbery,1.3,4.6,6.2,8.3,6.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,5.3
Sexual harassment and molestation of women,2.1,2.0,2.2,13.1,13.4
Stalking,,,,,2.4
Student riots,,,,,0.0
Theft,102.5,82.9,73.4,67.2,68.4
Total cognizable crimes under IPC,358.7,315.2,354.4,703.7,696.3
Unlawful assembly,,,,,0.9
Unnatural offences,,,,,0.1
Use of criminal force with intent to disrobe women,,,,,0.3
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.1
