crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.0,0.0
Arson,0.1,0.1,0.0,0.1,0.3,0.1
Assault on women with intent to outrage her modesty,6.7,23.6,7.6,20.8,25.7,16.9
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,4.1,4.1
Attempt to commit murder,4.6,7.2,4.6,5.2,5.0,5.3
Attempt to commit rape,,,,,1.1,1.1
Auto theft,106.0,147.9,143.4,116.8,141.2,131.1
Burglary,10.0,13.7,17.0,14.3,13.5,13.7
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,16.4,26.8,9.7,11.1,10.8,15.0
Causing injuries under rash driving/road rage,,,,,17.2,17.2
Cheating,20.1,18.9,15.6,18.9,17.1,18.1
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.3,0.3
Counterfeiting,4.4,2.0,0.6,0.7,0.3,1.6
Counterfeiting currency - notes or bank notes,,,,,0.3,0.3
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,9.0,8.0,7.4,7.5,4.2,7.2
Criminal trespass/burglary,,,,,2.4,2.4
Cruelty by husband or his relatives,35.4,35.1,28.6,44.9,45.6,37.9
Culpable homicide not amounting to murder,2.0,1.6,1.3,0.7,1.0,1.3
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.2,0.3,0.5,0.2,0.4,0.3
Dacoity with murder,,,,,0.1,0.1
Deaths due to other causes,,,,,1.2,1.2
Deaths due to rash/negligent driving,,,,,9.6,9.6
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,4.9,7.0,3.9,6.0,4.5,5.3
Extortion,,,,,2.4,2.4
Forgery,,,,,0.0,0.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,9.3,9.3
House trespass & house breaking,,,,,11.1,11.1
Human trafficking,,,,,0.0,0.0
Hurt,20.3,19.7,10.2,6.0,9.4,13.1
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.1,0.1
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,7.6,0.0,5.3,0.0,0.0,2.6
Kidnapping,,,,,11.3,11.3
Kidnapping & abduction,12.9,16.4,11.9,16.9,19.1,15.4
Kidnapping & abduction in order to murder,,,,,4.8,4.8
Kidnapping & abduction of others,2.0,2.6,,3.2,,2.6
Kidnapping & abduction of women and girls,18.0,30.0,20.6,29.9,,24.6
Kidnapping & abduction of women to compel her for marriage,,,,,5.7,5.7
Kidnapping for ransom,,,,,0.4,0.4
Kidnapping of others,,,2.4,,,2.4
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.3,0.3
Murder,4.4,6.4,4.4,3.5,4.5,4.6
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.2,0.2
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,83.3,111.2,71.5,79.8,44.6,78.1
Other cases of assault on women to outrage her modesty,,,,,2.6,2.6
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.0,0.0
Other rape,1.6,7.6,4.1,4.9,0.09999999999999999,3.7
Other rape other than custodial,,,,,4.5,4.5
Other theft,23.2,34.5,32.4,27.9,33.3,30.3
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.0,0.0,0.3,0.0,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1
Rape,1.6,7.6,4.1,4.9,4.7,4.6
Rape other than custodial,,,,,4.7,4.7
Riots,9.8,23.9,13.0,13.0,13.9,14.7
Riots others,,,,,13.9,13.9
Robbery,2.8,7.7,7.8,7.3,8.5,6.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,19.7,19.7
Sexual harassment and molestation of women,14.3,23.6,12.9,20.8,25.7,19.5
Stalking,,,,,2.2,2.2
Student riots,,,,,0.0,0.0
Theft,129.1,182.4,175.8,144.8,174.5,161.3
Total cognizable crimes under IPC,363.5,480.0,374.4,365.1,389.0,394.4
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.1,0.1
Use of criminal force with intent to disrobe women,,,,,1.0,1.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.2,0.2
