crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.2,0.2
Agrarian riots,,,,,0.0,0.0
Arson,0.3,0.0,0.1,0.2,0.8,0.3
Assault on women with intent to outrage her modesty,2.2,5.0,5.2,12.3,26.6,10.3
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,0.7,0.2,2.0,3.9,13.2,4.0
Attempt to commit rape,,,,,3.4,3.4
Auto theft,16.0,22.1,20.4,19.9,22.4,20.2
Burglary,0.5,0.7,1.7,1.8,0.8,1.1
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,10.0,13.6,15.7,16.2,17.0,14.5
Causing injuries under rash driving/road rage,,,,,17.9,17.9
Cheating,4.3,6.1,1.2,11.1,10.9,6.7
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,0.1,0.0,0.2,0.3,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2,0.2
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,0.5,0.8,1.6,7.9,7.9,3.7
Criminal trespass/burglary,,,,,0.8,0.8
Cruelty by husband or his relatives,52.1,77.5,40.3,78.5,82.4,66.2
Culpable homicide not amounting to murder,1.3,0.9,0.7,0.6,0.8,0.9
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.4,0.6,1.2,1.0,0.4,0.7
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,17.0,17.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,3.2,1.7,2.5,2.5,4.7,2.9
Extortion,,,,,0.0,0.0
Forgery,,,,,5.5,5.5
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.0,0.0
Grievous hurt,,,,,0.0,0.0
House trespass & house breaking,,,,,0.0,0.0
Human trafficking,,,,,0.0,0.0
Hurt,6.3,13.9,7.5,13.5,0.2,8.3
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.2,0.2
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.0,1.2,0.7,0.2,0.2,0.5
Kidnapping,,,,,1.9,1.9
Kidnapping & abduction,1.9,5.1,6.2,10.1,8.4,6.3
Kidnapping & abduction in order to murder,,,,,0.2,0.2
Kidnapping & abduction of others,0.7,1.1,,3.1,,1.6
Kidnapping & abduction of women and girls,2.2,8.4,8.2,14.6,,8.3
Kidnapping & abduction of women to compel her for marriage,,,,,3.9,3.9
Kidnapping for ransom,,,,,0.2,0.2
Kidnapping of others,,,2.3,,,2.3
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,2.4,2.4
Murder,3.1,4.7,4.8,4.5,3.9,4.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.1,0.1
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,66.0,114.8,141.5,179.6,153.3,131.0
Other cases of assault on women to outrage her modesty,,,,,13.1,13.1
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,4.1,4.1
Other rape,3.0,5.2,6.0,5.2,0.13333333333333333,3.9
Other rape other than custodial,,,,,2.7,2.7
Other theft,13.6,29.4,55.8,39.1,26.5,32.9
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,5.9,5.7,3.5,3.9,,4.8
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1
Rape,3.0,5.2,6.0,5.2,2.7,4.4
Rape other than custodial,,,,,2.7,2.7
Riots,4.5,8.0,17.1,21.1,14.6,13.1
Riots others,,,,,14.6,14.6
Robbery,0.5,1.9,6.0,3.1,1.0,2.5
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,5.2,5.2
Sexual harassment and molestation of women,2.2,6.2,5.9,12.4,26.7,10.7
Stalking,,,,,1.3,1.3
Student riots,,,,,0.0,0.0
Theft,29.6,51.6,76.2,59.0,48.8,53.0
Total cognizable crimes under IPC,168.7,272.0,313.5,385.0,365.2,300.9
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,6.4,6.4
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.5,0.5
