crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,,2.2,2.0,2.4,2.9,2.4
Assault on women with intent to outrage her modesty,,11.4,13.9,30.4,39.9,23.9
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,,9.9,4.6,4.2,4.5,5.8
Attempt to commit rape,,,,,0.0,0.0
Auto theft,,36.1,35.2,52.1,59.4,45.7
Burglary,,32.0,24.6,24.8,22.5,26.0
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,,14.1,15.6,13.2,15.4,14.6
Causing injuries under rash driving/road rage,,,,,64.8,64.8
Cheating,,16.3,20.6,20.0,16.6,18.4
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,,0.4,0.2,0.3,0.2,0.3
Counterfeiting currency - notes or bank notes,,,,,0.2,0.2
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,,1.8,1.6,1.6,1.3,1.6
Criminal trespass/burglary,,,,,17.7,17.7
Cruelty by husband or his relatives,,21.4,21.1,26.5,28.8,24.4
Culpable homicide not amounting to murder,,0.1,0.4,0.0,0.0,0.1
Custodial rape,,0.0,0.0,0.0,0.0,0.0
Dacoity,,1.9,2.1,1.8,2.1,2.0
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.4,0.4
Deaths due to rash/negligent driving,,,,,15.0,15.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,,1.2,0.7,0.9,0.4,0.8
Extortion,,,,,1.1,1.1
Forgery,,,,,0.3,0.3
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.4,0.4
Grievous hurt,,,,,6.0,6.0
House trespass & house breaking,,,,,4.8,4.8
Human trafficking,,,,,0.0,0.0
Hurt,,39.5,38.7,42.1,6.0,31.6
Importation of girls from foreign country,,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.9,0.9
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,,5.1,4.9,6.7,0.9,4.4
Kidnapping,,,,,2.7,2.7
Kidnapping & abduction,,2.9,2.1,4.1,5.3,3.6
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,,0.9,,1.2,,1.1
Kidnapping & abduction of women and girls,,4.2,3.2,6.2,,4.5
Kidnapping & abduction of women to compel her for marriage,,,,,2.8,2.8
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,0.6,,,0.6
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,1.3,1.3
Murder,,3.4,3.9,2.7,2.9,3.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,,75.4,71.2,60.2,71.6,69.6
Other cases of assault on women to outrage her modesty,,,,,5.8,5.8
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,1.3,1.3
Other rape,,2.8,4.0,3.9,0.7000000000000001,2.9
Other rape other than custodial,,,,,4.4,4.4
Other theft,,35.6,33.9,47.5,60.0,44.2
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,,0.4,0.7,0.3,,0.5
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,,2.8,4.0,3.9,4.7,3.9
Rape other than custodial,,,,,4.7,4.7
Riots,,13.0,14.1,15.2,11.3,13.4
Riots others,,,,,11.3,11.3
Robbery,,12.8,15.0,14.0,17.2,14.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,19.3,19.3
Sexual harassment and molestation of women,,16.5,18.8,37.1,40.8,28.3
Stalking,,,,,11.4,11.4
Student riots,,,,,0.0,0.0
Theft,,71.7,69.1,99.6,119.3,89.9
Total cognizable crimes under IPC,,318.0,307.7,339.2,405.5,342.6
Unlawful assembly,,,,,3.0,3.0
Unnatural offences,,,,,0.2,0.2
Use of criminal force with intent to disrobe women,,,,,3.0,3.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.4,0.4
