crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.1,0.0,0.0,0.2,1.2,0.3
Assault on women with intent to outrage her modesty,7.6,6.2,7.9,9.3,16.8,9.6
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,7.8,5.4,5.3,5.2,5.8,5.9
Attempt to commit rape,,,,,0.1,0.1
Auto theft,112.7,70.3,59.9,63.0,59.7,73.1
Burglary,23.5,15.4,14.6,16.5,18.1,17.6
Caste conflict riots,,,,,0.1,0.1
Causing death by negligence,1.8,1.3,2.0,1.9,10.4,3.5
Causing injuries under rash driving/road rage,,,,,50.8,50.8
Cheating,54.0,37.1,36.4,35.1,35.8,39.7
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.3,0.3
Counterfeiting,1.3,0.7,0.5,0.4,0.3,0.6
Counterfeiting currency - notes or bank notes,,,,,0.2,0.2
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,2.4,1.8,1.7,1.6,1.3,1.8
Criminal trespass/burglary,,,,,13.1,13.1
Cruelty by husband or his relatives,9.8,11.3,12.9,11.9,12.1,11.6
Culpable homicide not amounting to murder,0.1,0.0,0.1,0.3,0.2,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,1.2,0.5,0.4,0.5,0.6,0.6
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,2.4,2.4
Deaths due to rash/negligent driving,,,,,8.0,8.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,1.3,1.3,1.3,1.3,1.4,1.3
Extortion,,,,,1.8,1.8
Forgery,,,,,0.5,0.5
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,2.5,2.5
House trespass & house breaking,,,,,5.0,5.0
Human trafficking,,,,,0.1,0.1
Hurt,55.4,34.4,36.4,36.9,2.6,33.1
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,1.3,1.3
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,1.2,1.0,1.3,1.8,1.4,1.3
Kidnapping,,,,,7.1,7.1
Kidnapping & abduction,9.0,6.7,6.3,7.6,8.3,7.6
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,8.5,4.3,,1.2,,4.7
Kidnapping & abduction of women and girls,0.7,5.1,10.7,13.3,,7.5
Kidnapping & abduction of women to compel her for marriage,,,,,0.3,0.3
Kidnapping for ransom,,,,,0.3,0.3
Kidnapping of others,,,1.2,,,1.2
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,4.1,4.1
Murder,4.7,2.7,3.1,2.6,2.8,3.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,181.7,97.6,90.2,93.8,62.1,105.1
Other cases of assault on women to outrage her modesty,,,,,14.7,14.7
Other caste conflict riots,,,,,0.1,0.1
Other kidnapping & abduction,,,,,0.7,0.7
Other rape,1.6,2.4,2.2,2.0,0.19999999999999998,1.7
Other rape other than custodial,,,,,2.4,2.4
Other theft,73.2,53.7,55.7,62.2,75.1,64.0
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,4.3,4.0,5.5,5.0,,4.7
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,1.6,2.4,2.2,2.0,2.6,2.2
Rape other than custodial,,,,,2.6,2.6
Riots,6.1,4.6,6.5,4.3,4.6,5.2
Riots others,,,,,4.4,4.4
Robbery,11.3,9.2,7.9,7.3,12.6,9.7
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,1.3,1.3
Sexual harassment and molestation of women,8.8,7.1,9.2,11.1,18.2,10.9
Stalking,,,,,0.5,0.5
Student riots,,,,,0.0,0.0
Theft,185.8,124.0,115.6,125.2,134.8,137.1
Total cognizable crimes under IPC,566.0,356.3,344.7,356.7,375.2,399.8
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.2,0.2
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.2,0.2
Voyeurism,,,,,0.1,0.1
