crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.0,0.1,0.1,0.3,0.2,0.1
Assault on women with intent to outrage her modesty,1.0,1.7,2.1,1.3,1.4,1.5
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,2.5,3.8,2.5,2.3,2.6,2.7
Attempt to commit rape,,,,,0.0,0.0
Auto theft,3.6,4.9,3.0,3.4,2.9,3.6
Burglary,6.0,8.8,6.3,5.4,4.2,6.1
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,9.4,16.5,16.2,14.3,12.5,13.8
Causing injuries under rash driving/road rage,,,,,98.1,98.1
Cheating,8.2,8.8,8.8,5.7,6.4,7.6
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.9,0.9
Counterfeiting,1.1,1.1,1.6,1.7,0.9,1.3
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,0.3,0.3,0.6,0.1,0.1,0.3
Criminal trespass/burglary,,,,,3.2,3.2
Cruelty by husband or his relatives,2.9,5.3,5.5,5.1,7.0,5.2
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.0,0.0,0.0
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.0,0.0,0.0,0.1,0.1,0.0
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,12.5,12.5
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.4,0.5,0.3,0.3,0.2,0.3
Extortion,,,,,0.6,0.6
Forgery,,,,,0.8,0.8
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.0,0.0
Grievous hurt,,,,,0.5,0.5
House trespass & house breaking,,,,,1.1,1.1
Human trafficking,,,,,0.0,0.0
Hurt,12.0,16.9,16.2,13.9,0.5,11.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,3.6,3.6
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.5,2.8,3.3,3.6,3.6,2.8
Kidnapping,,,,,0.1,0.1
Kidnapping & abduction,0.7,0.6,1.0,0.7,0.4,0.7
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.3,0.2,,0.2,,0.2
Kidnapping & abduction of women and girls,0.7,1.0,1.5,1.0,,1.1
Kidnapping & abduction of women to compel her for marriage,,,,,0.4,0.4
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,0.3,,,0.3
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.0,0.0
Murder,1.6,1.9,2.1,2.3,1.9,2.0
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,97.2,143.3,139.5,130.1,36.8,109.4
Other cases of assault on women to outrage her modesty,,,,,1.4,1.4
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.1,0.1
Other rape,1.1,1.8,2.2,1.9,0.03333333333333333,1.4
Other rape other than custodial,,,,,1.5,1.5
Other theft,20.3,28.1,21.9,15.8,14.6,20.1
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,,0.0
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,1.1,1.8,2.2,1.9,1.5,1.7
Rape other than custodial,,,,,1.5,1.5
Riots,0.9,1.8,1.1,1.1,1.4,1.3
Riots others,,,,,1.4,1.4
Robbery,1.2,2.5,1.0,0.9,0.8,1.3
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,0.0,0.0
Sexual harassment and molestation of women,1.6,4.5,5.4,4.9,5.0,4.3
Stalking,,,,,0.0,0.0
Student riots,,,,,0.0,0.0
Theft,24.0,33.0,24.9,19.1,17.5,23.7
Total cognizable crimes under IPC,169.2,245.5,228.6,204.1,193.9,208.3
Unlawful assembly,,,,,1.4,1.4
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.0,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.9,0.9
Voyeurism,,,,,0.0,0.0
