crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.6,1.1,1.0,0.7,0.7,0.8
Assault on women with intent to outrage her modesty,3.3,3.0,1.6,1.4,0.7,2.0
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,1.9,1.9,1.7,2.5,2.0,2.0
Attempt to commit rape,,,,,0.0,0.0
Auto theft,34.4,15.8,9.5,5.9,5.3,14.2
Burglary,9.8,4.9,5.8,5.7,7.7,6.8
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,22.4,13.2,13.6,13.5,13.8,15.3
Causing injuries under rash driving/road rage,,,,,61.1,61.1
Cheating,10.2,7.9,6.1,7.7,8.2,8.0
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.1,0.1
Counterfeiting,2.1,0.9,2.7,1.4,0.1,1.4
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,0.6,0.3,0.4,0.7,0.4,0.5
Criminal trespass/burglary,,,,,6.2,6.2
Cruelty by husband or his relatives,4.2,7.7,10.4,4.5,5.9,6.5
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.0,0.0,0.0
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.1,0.0,0.1,0.1,0.2,0.1
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.8,0.8
Deaths due to rash/negligent driving,,,,,13.0,13.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.1,0.2,0.0,0.1,0.0,0.1
Extortion,,,,,1.2,1.2
Forgery,,,,,0.0,0.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.0,0.0
Grievous hurt,,,,,0.8,0.8
House trespass & house breaking,,,,,1.5,1.5
Human trafficking,,,,,0.0,0.0
Hurt,24.7,18.5,12.6,10.7,0.8,13.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.1,0.5,0.2,0.4,0.0,0.2
Kidnapping,,,,,0.2,0.2
Kidnapping & abduction,1.5,1.3,0.9,0.4,0.7,1.0
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.8,0.8,,0.3,,0.6
Kidnapping & abduction of women and girls,0.9,0.9,1.1,0.3,,0.8
Kidnapping & abduction of women to compel her for marriage,,,,,0.3,0.3
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,0.4,,,0.4
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.0,0.0
Murder,1.5,1.2,1.3,1.2,1.0,1.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.2,0.2
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,128.7,88.2,397.3,760.9,71.4,289.3
Other cases of assault on women to outrage her modesty,,,,,0.7,0.7
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.3,0.3
Other rape,1.4,0.8,1.9,1.6,0.06666666666666667,1.2
Other rape other than custodial,,,,,0.5,0.5
Other theft,40.6,22.5,15.8,13.0,11.2,20.6
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.1,0.1
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,,0.0
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.2,0.2
Rape,1.4,0.8,1.9,1.6,0.5,1.2
Rape other than custodial,,,,,0.5,0.5
Riots,1.6,1.4,0.7,0.6,1.2,1.1
Riots others,,,,,1.2,1.2
Robbery,1.7,2.2,4.7,5.3,5.7,3.9
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,0.0,0.0
Sexual harassment and molestation of women,3.4,3.4,1.8,1.8,0.7,2.2
Stalking,,,,,0.0,0.0
Student riots,,,,,0.0,0.0
Theft,75.0,38.3,25.3,18.9,16.4,34.8
Total cognizable crimes under IPC,289.1,187.4,481.5,834.3,199.0,398.3
Unlawful assembly,,,,,2.6,2.6
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.0,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.0,0.0
