crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.1,0.0,0.1,0.1,0.0,0.1
Assault on women with intent to outrage her modesty,1.1,1.6,0.7,1.6,3.2,1.6
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,0.9,0.8,0.8,0.9,0.8,0.8
Attempt to commit rape,,,,,0.9,0.9
Auto theft,23.7,19.6,15.8,19.0,15.7,18.8
Burglary,9.5,5.3,5.6,5.1,5.7,6.2
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,0.1,0.2,0.0,0.0,0.0,0.1
Causing injuries under rash driving/road rage,,,,,8.2,8.2
Cheating,2.0,2.3,4.4,4.7,1.8,3.0
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.1,0.1
Counterfeiting,0.0,0.2,0.1,0.0,0.1,0.1
Counterfeiting currency - notes or bank notes,,,,,0.1,0.1
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,2.0,3.8,2.6,2.8,5.7,3.4
Criminal trespass/burglary,,,,,0.0,0.0
Cruelty by husband or his relatives,2.0,1.4,4.6,3.7,5.5,3.4
Culpable homicide not amounting to murder,0.7,0.7,0.3,0.3,0.3,0.5
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,1.5,0.8,0.6,0.8,0.6,0.9
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,0.0,0.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,2.1,1.4,1.8,1.4,1.6,1.7
Extortion,,,,,0.9,0.9
Forgery,,,,,2.0,2.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,1.0,1.0
House trespass & house breaking,,,,,5.7,5.7
Human trafficking,,,,,0.0,0.0
Hurt,6.7,7.7,4.3,4.9,1.0,4.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.0,0.0,0.0,0.0,0.0,0.0
Kidnapping,,,,,0.0,0.0
Kidnapping & abduction,4.3,3.0,4.1,3.8,3.3,3.7
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.6,0.5,,0.7,,0.6
Kidnapping & abduction of women and girls,7.1,5.3,7.1,6.8,,6.6
Kidnapping & abduction of women to compel her for marriage,,,,,5.9,5.9
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,0.8,,,0.8
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,1.6,2.3,1.4,1.6,1.4,1.7
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,14.3,55.4,72.2,78.0,72.6,58.5
Other cases of assault on women to outrage her modesty,,,,,3.2,3.2
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.5,0.5
Other rape,0.9,1.8,2.3,2.5,0.19999999999999998,1.5
Other rape other than custodial,,,,,2.1,2.1
Other theft,17.8,12.5,12.4,9.6,12.8,13.0
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.1,0.2,0.1,0.1,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,0.9,1.8,2.3,2.5,2.3,2.0
Rape other than custodial,,,,,2.3,2.3
Riots,5.2,5.7,5.1,4.4,4.8,5.0
Riots others,,,,,4.8,4.8
Robbery,1.0,0.8,0.7,1.0,0.7,0.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,0.0,0.0
Sexual harassment and molestation of women,1.1,1.6,0.7,1.6,3.2,1.6
Stalking,,,,,0.0,0.0
Student riots,,,,,0.0,0.0
Theft,41.4,32.1,28.2,28.6,28.5,31.8
Total cognizable crimes under IPC,94.5,124.0,135.0,141.3,144.8,127.9
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.0,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.0,0.0
