crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.0,0.0
Arson,0.5,0.6,0.6,0.3,0.5,0.5
Assault on women with intent to outrage her modesty,4.1,4.7,4.7,13.8,14.4,8.3
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,4.6,4.2,3.6,4.2,2.9,3.9
Attempt to commit rape,,,,,0.6,0.6
Auto theft,128.2,102.4,106.4,106.4,123.6,113.4
Burglary,26.3,25.3,24.7,27.9,29.3,26.7
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,21.2,16.3,17.4,15.7,0.9,14.3
Causing injuries under rash driving/road rage,,,,,0.0,0.0
Cheating,14.6,3.0,3.3,3.8,3.6,5.7
Communal riots,,,,,14.7,14.7
Counterfeit currency & bank notes total,,,,,0.3,0.3
Counterfeiting,0.0,0.1,0.1,0.1,0.3,0.1
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,16.5,11.4,8.4,12.1,14.2,12.5
Criminal trespass/burglary,,,,,22.7,22.7
Cruelty by husband or his relatives,34.2,33.3,30.1,39.0,46.2,36.6
Culpable homicide not amounting to murder,0.5,0.4,0.4,0.2,0.2,0.3
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.9,0.7,0.7,0.4,0.5,0.6
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.9,0.9
Deaths due to rash/negligent driving,,,,,0.0,0.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,3.5,1.5,1.2,3.4,3.1,2.5
Extortion,,,,,1.1,1.1
Forgery,,,,,7.6,7.6
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,2.0,2.0
Grievous hurt,,,,,7.8,7.8
House trespass & house breaking,,,,,6.6,6.6
Human trafficking,,,,,0.0,0.0
Hurt,18.1,15.2,11.6,9.6,7.9,12.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,2.4,2.4
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,11.9,9.0,12.8,8.6,2.4,8.9
Kidnapping,,,,,0.2,0.2
Kidnapping & abduction,9.7,7.5,7.3,11.0,27.3,12.6
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,1.5,1.6,,2.8,,2.0
Kidnapping & abduction of women and girls,13.1,12.5,13.3,17.6,,14.1
Kidnapping & abduction of women to compel her for marriage,,,,,29.1,29.1
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,1.1,,,1.1
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.3,0.3
Murder,6.6,4.3,5.1,4.3,4.6,5.0
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,124.8,111.7,101.6,108.8,121.6,113.7
Other cases of assault on women to outrage her modesty,,,,,3.1,3.1
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,13.6,13.6
Other rape,7.8,8.3,7.2,9.9,0.16666666666666666,6.7
Other rape other than custodial,,,,,13.5,13.5
Other theft,30.3,34.0,23.1,19.1,24.4,26.2
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,6.6,2.8,1.1,0.5,,2.8
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,7.8,8.3,7.2,9.9,15.4,9.7
Rape other than custodial,,,,,15.4,15.4
Riots,16.9,12.3,13.4,13.0,14.7,14.1
Riots others,,,,,0.0,0.0
Robbery,1.9,2.6,2.4,2.4,2.8,2.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,5.4,5.4
Sexual harassment and molestation of women,16.0,13.8,17.6,22.3,16.8,17.3
Stalking,,,,,2.6,2.6
Student riots,,,,,0.0,0.0
Theft,158.5,136.4,129.5,125.5,148.0,139.6
Total cognizable crimes under IPC,466.4,381.3,357.5,374.7,427.0,401.4
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.4,0.4
Use of criminal force with intent to disrobe women,,,,,3.2,3.2
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.3,0.3
Voyeurism,,,,,0.2,0.2
