crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.1,0.1
Arson,0.7,0.7,1.0,0.8,0.7,0.8
Assault on women with intent to outrage her modesty,6.9,7.3,7.7,11.9,13.7,9.5
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.4,0.4
Attempt to commit murder,2.5,2.6,2.9,2.9,3.4,2.9
Attempt to commit rape,,,,,0.7,0.7
Auto theft,12.4,12.5,12.7,13.5,14.9,13.2
Burglary,7.6,7.6,7.7,8.5,9.2,8.1
Caste conflict riots,,,,,0.1,0.1
Causing death by negligence,9.0,9.0,8.9,9.1,10.4,9.3
Causing injuries under rash driving/road rage,,,,,32.9,32.9
Cheating,6.7,7.2,7.8,8.7,8.8,7.8
Communal riots,,,,,0.1,0.1
Counterfeit currency & bank notes total,,,,,0.1,0.1
Counterfeiting,0.2,0.2,0.2,0.2,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.1,0.1
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,1.4,1.4,1.5,1.6,1.6,1.5
Criminal trespass/burglary,,,,,6.8,6.8
Cruelty by husband or his relatives,16.0,16.9,18.2,20.1,20.5,18.3
Culpable homicide not amounting to murder,0.3,0.3,0.3,0.7,0.3,0.4
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.4,0.4,0.4,0.4,0.4,0.4
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.5,0.5
Deaths due to rash/negligent driving,,,,,9.8,9.8
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,1.4,1.5,1.4,1.4,1.4,1.4
Extortion,,,,,0.7,0.7
Forgery,,,,,0.9,0.9
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.4,0.4
Grievous hurt,,,,,8.4,8.4
House trespass & house breaking,,,,,2.4,2.4
Human trafficking,,,,,0.1,0.1
Hurt,24.4,25.0,27.4,27.2,8.5,22.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,1.5,1.5
Insult to modesty of women in other places related to work,,,,,0.1,0.1
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,1.7,1.5,1.6,2.1,1.6,1.7
Kidnapping,,,,,2.0,2.0
Kidnapping & abduction,3.2,3.7,3.9,5.3,6.2,4.5
Kidnapping & abduction in order to murder,,,,,0.1,0.1
Kidnapping & abduction of others,0.7,0.8,,1.1,,0.9
Kidnapping & abduction of women and girls,5.1,6.1,6.5,28.8,,11.6
Kidnapping & abduction of women to compel her for marriage,,,,,5.1,5.1
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.8,,,0.8
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.2,0.2
Murder,2.8,2.8,2.8,2.7,2.7,2.8
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,77.9,79.8,79.6,88.9,75.8,80.4
Other cases of assault on women to outrage her modesty,,,,,8.1,8.1
Other caste conflict riots,,,,,0.1,0.1
Other dacoity,,,,,0.3,0.3
Other kidnapping & abduction,,,,,1.5,1.5
Other offences against state,,,,,0.0,0.0
Other rape,3.8,4.1,4.2,5.7,0.0,3.6
Other rape other than custodial,,,,,5.7,5.7
Other theft,15.4,15.7,15.1,16.8,20.5,16.7
Political riots,,,,,0.1,0.1
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.2,0.2,0.3,0.3,,0.2
"Promoting enmity between different groups on ground of religion, race, place of birth, etc",,,,,0.0,0.0
Rape,3.8,4.1,4.2,5.7,6.1,4.8
Rape other than custodial,,,,,6.1,6.1
Riots,5.7,5.7,6.2,5.9,5.3,5.8
Riots others,,,,,4.9,4.9
Robbery,2.0,2.0,2.3,2.6,3.1,2.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,3.7,3.7
Sexual harassment and molestation of women,8.6,8.8,9.3,14.2,15.5,11.3
Stalking,,,,,0.8,0.8
Student riots,,,,,0.0,0.0
Theft,27.9,28.2,27.8,30.3,35.4,29.9
Total cognizable crimes under IPC,187.6,192.2,196.7,215.5,229.2,204.2
Unlawful assembly,,,,,0.8,0.8
Unnatural offences,,,,,0.1,0.1
Use of criminal force with intent to disrobe women,,,,,1.1,1.1
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1,0.1
Voyeurism,,,,,0.1,0.1
