crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.0,0.0
Arson,1.1,1.7,2.4,2.1,1.8,1.8
Assault on women with intent to outrage her modesty,20.3,22.1,28.6,24.2,29.0,24.8
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.1,0.1
Attempt to commit murder,7.9,5.1,6.1,8.4,8.4,7.2
Attempt to commit rape,,,,,0.3,0.3
Auto theft,163.6,105.4,123.3,181.5,203.5,155.5
Burglary,42.0,39.8,48.1,58.2,64.1,50.4
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,13.4,11.3,11.7,13.0,14.7,12.8
Causing injuries under rash driving/road rage,,,,,190.0,190.0
Cheating,9.2,9.5,8.6,6.2,7.2,8.1
Communal riots,,,,,0.1,0.1
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,0.9,0.1,0.3,0.4,0.2,0.4
Counterfeiting currency - notes or bank notes,,,,,0.2,0.2
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,2.6,1.7,1.3,1.2,1.4,1.6
Criminal trespass/burglary,,,,,64.1,64.1
Cruelty by husband or his relatives,24.9,29.5,33.6,23.9,17.5,25.9
Culpable homicide not amounting to murder,0.1,0.1,0.1,0.3,0.0,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.3,0.0,0.2,0.1,0.0,0.1
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.9,0.9
Deaths due to rash/negligent driving,,,,,13.8,13.8
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,2.5,2.0,1.7,1.9,2.2,2.1
Extortion,,,,,0.0,0.0
Forgery,,,,,2.2,2.2
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,1.1,1.1
Grievous hurt,,,,,3.2,3.2
House trespass & house breaking,,,,,0.0,0.0
Human trafficking,,,,,0.0,0.0
Hurt,170.8,105.5,39.0,48.1,3.3,73.3
Importation of girls from foreign country,0.1,0.1,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.1,0.1
Insult to modesty of women at other places,,,,,2.8,2.8
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.1,0.1
Insult to the modesty of women,4.5,4.7,8.7,5.2,3.0,5.2
Kidnapping,,,,,17.1,17.1
Kidnapping & abduction,1.8,2.7,2.2,14.7,20.3,8.3
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.4,0.6,,4.1,,1.7
Kidnapping & abduction of women and girls,2.2,4.5,3.7,22.3,,8.2
Kidnapping & abduction of women to compel her for marriage,,,,,4.4,4.4
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.5,,,0.5
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,4.9,4.9,3.8,3.5,4.1,4.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,347.7,292.9,403.8,367.9,245.6,331.6
Other cases of assault on women to outrage her modesty,,,,,17.8,17.8
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.9,0.9
Other rape,6.6,8.8,12.0,12.8,0.0,8.0
Other rape other than custodial,,,,,16.8,16.8
Other theft,47.7,43.7,56.9,60.4,69.4,55.6
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.7,0.3,0.1,0.1,,0.3
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,6.6,8.8,12.0,12.8,17.8,11.6
Rape other than custodial,,,,,17.8,17.8
Riots,3.2,3.3,2.4,2.0,2.3,2.6
Riots others,,,,,2.2,2.2
Robbery,12.8,9.0,11.7,9.2,13.1,11.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,7.7,7.7
Sexual harassment and molestation of women,24.9,26.8,37.3,29.4,32.0,30.1
Stalking,,,,,3.0,3.0
Student riots,,,,,0.0,0.0
Theft,211.2,149.1,180.2,241.9,272.9,211.1
Total cognizable crimes under IPC,868.2,669.3,762.6,809.9,885.9,799.2
Unlawful assembly,,,,,0.3,0.3
Unnatural offences,,,,,0.3,0.3
Use of criminal force with intent to disrobe women,,,,,0.4,0.4
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.1,0.1
