crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.0,0.0
Arson,0.5,1.1,0.1,0.1,0.1,0.4
Assault on women with intent to outrage her modesty,0.9,2.8,2.8,8.1,4.7,3.9
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,2.5,1.6,1.2,1.8,2.5,1.9
Attempt to commit rape,,,,,1.9,1.9
Auto theft,39.7,26.3,28.4,25.0,30.8,30.0
Burglary,13.6,10.0,9.8,9.9,11.6,11.0
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,9.1,9.0,0.3,0.4,7.3,5.2
Causing injuries under rash driving/road rage,,,,,11.0,11.0
Cheating,8.2,4.0,16.4,35.8,28.5,18.6
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.0,0.0
Counterfeiting,0.0,0.0,0.3,0.1,0.0,0.1
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,3.8,5.2,4.6,10.1,7.6,6.3
Criminal trespass/burglary,,,,,10.6,10.6
Cruelty by husband or his relatives,3.4,9.5,12.3,20.6,13.3,11.8
Culpable homicide not amounting to murder,0.7,0.4,0.2,0.2,0.2,0.3
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.3,0.2,0.3,0.2,0.4,0.3
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.5,0.5
Deaths due to rash/negligent driving,,,,,6.8,6.8
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,2.0,1.9,2.2,1.6,1.3,1.8
Extortion,,,,,1.9,1.9
Forgery,,,,,3.1,3.1
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.0,0.0
Grievous hurt,,,,,4.1,4.1
House trespass & house breaking,,,,,1.0,1.0
Human trafficking,,,,,0.0,0.0
Hurt,52.5,35.9,42.6,57.7,4.2,38.6
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.2,0.0,0.3,0.3,0.0,0.2
Kidnapping,,,,,0.6,0.6
Kidnapping & abduction,3.9,3.9,5.5,5.1,4.8,4.6
Kidnapping & abduction in order to murder,,,,,0.1,0.1
Kidnapping & abduction of others,1.6,0.9,,0.1,,0.9
Kidnapping & abduction of women and girls,3.9,6.2,10.8,10.5,,7.9
Kidnapping & abduction of women to compel her for marriage,,,,,7.7,7.7
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.4,,,0.4
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,4.7,2.7,2.0,2.6,3.8,3.2
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,64.8,34.3,73.3,82.6,80.9,67.2
Other cases of assault on women to outrage her modesty,,,,,2.5,2.5
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.2,0.2
Other rape,2.5,2.8,4.1,7.7,0.13333333333333333,3.4
Other rape other than custodial,,,,,5.6,5.6
Other theft,24.0,26.1,33.7,36.1,29.6,29.9
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.1,0.0,0.2,0.2,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,2.5,2.8,4.1,7.7,5.6,4.5
Rape other than custodial,,,,,5.6,5.6
Riots,12.1,6.2,7.1,7.1,6.1,7.7
Riots others,,,,,6.1,6.1
Robbery,2.3,1.5,2.2,3.1,2.2,2.3
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,1.3,1.3
Sexual harassment and molestation of women,1.1,2.8,3.1,8.4,4.7,4.0
Stalking,,,,,0.0,0.0
Student riots,,,,,0.0,0.0
Theft,63.7,52.4,62.2,61.0,60.4,59.9
Total cognizable crimes under IPC,247.9,176.7,238.7,296.3,249.8,241.9
Unlawful assembly,,,,,0.1,0.1
Unnatural offences,,,,,0.2,0.2
Use of criminal force with intent to disrobe women,,,,,0.9,0.9
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.0,0.0
