crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,,1.1,1.1,2.4,1.0,1.4
Assault on women with intent to outrage her modesty,,10.6,8.0,26.2,39.4,21.1
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.4,0.4
Attempt to commit murder,,4.7,6.1,9.7,7.6,7.0
Attempt to commit rape,,,,,0.4,0.4
Auto theft,,57.7,63.0,71.4,57.4,62.4
Burglary,,15.2,15.3,26.7,26.1,20.8
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,,21.2,25.0,22.6,22.4,22.8
Causing injuries under rash driving/road rage,,,,,27.9,27.9
Cheating,,60.1,63.4,75.4,47.2,61.5
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,,0.4,0.3,0.0,0.2,0.2
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,,1.6,0.6,1.1,1.2,1.1
Criminal trespass/burglary,,,,,11.5,11.5
Cruelty by husband or his relatives,,62.8,55.9,69.3,79.6,66.9
Culpable homicide not amounting to murder,,0.5,0.5,0.3,0.4,0.4
Custodial rape,,0.0,0.0,0.0,0.0,0.0
Dacoity,,0.0,0.0,0.2,0.0,0.1
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,1.7,1.7
Deaths due to rash/negligent driving,,,,,20.7,20.7
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,,2.4,3.0,1.3,1.5,2.0
Extortion,,,,,0.2,0.2
Forgery,,,,,46.7,46.7
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,0.9,0.9
House trespass & house breaking,,,,,14.6,14.6
Human trafficking,,,,,0.0,0.0
Hurt,,56.3,61.8,75.4,0.9,48.6
Importation of girls from foreign country,,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.6,0.6
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,,0.2,0.0,0.0,0.6,0.2
Kidnapping,,,,,1.2,1.2
Kidnapping & abduction,,5.1,3.9,11.4,9.5,7.5
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,,1.1,,2.3,,1.7
Kidnapping & abduction of women and girls,,8.4,6.7,19.3,,11.5
Kidnapping & abduction of women to compel her for marriage,,,,,6.3,6.3
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,0.7,,,0.7
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,,2.5,2.4,4.0,3.6,3.1
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.2,0.2
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,,82.7,87.6,113.6,139.0,105.7
Other cases of assault on women to outrage her modesty,,,,,28.8,28.8
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,5.3,5.3
Other rape,,6.1,7.4,13.0,0.0,6.6
Other rape other than custodial,,,,,12.5,12.5
Other theft,,25.3,28.6,36.5,29.9,30.1
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,,0.1,0.0,0.1,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.2,0.2
Rape,,6.1,7.4,13.0,12.6,9.8
Rape other than custodial,,,,,12.6,12.6
Riots,,0.4,0.0,0.0,0.3,0.2
Riots others,,,,,0.3,0.3
Robbery,,1.5,3.4,7.8,10.5,5.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,4.3,4.3
Sexual harassment and molestation of women,,10.8,8.0,26.2,39.9,21.2
Stalking,,,,,2.8,2.8
Student riots,,,,,0.0,0.0
Theft,,83.0,91.7,107.8,87.3,92.5
Total cognizable crimes under IPC,,375.2,398.2,510.3,496.0,444.9
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.1,0.1
Use of criminal force with intent to disrobe women,,,,,3.0,3.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.2,0.2
Voyeurism,,,,,0.6,0.6
