crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.0,0.1,0.0,0.1,0.1,0.1
Assault on women with intent to outrage her modesty,8.8,10.5,4.3,4.4,9.7,7.5
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.5,0.5
Attempt to commit murder,4.1,4.8,2.3,1.7,1.6,2.9
Attempt to commit rape,,,,,0.4,0.4
Auto theft,31.9,46.3,31.3,21.3,29.2,32.0
Burglary,9.9,10.9,5.7,3.8,5.5,7.2
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,21.2,15.5,5.4,6.5,6.6,11.0
Causing injuries under rash driving/road rage,,,,,20.0,20.0
Cheating,17.1,17.5,13.0,9.7,11.5,13.8
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,2.0,1.2,0.0,0.2,0.2,0.7
Counterfeiting currency - notes or bank notes,,,,,0.2,0.2
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,8.0,7.1,4.5,4.0,4.3,5.6
Criminal trespass/burglary,,,,,5.5,5.5
Cruelty by husband or his relatives,33.5,21.3,19.8,16.9,33.0,24.9
Culpable homicide not amounting to murder,1.5,1.4,0.6,0.5,0.4,0.9
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.4,0.4,0.1,0.0,0.1,0.2
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,6.6,6.6
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,6.9,5.2,2.2,2.0,2.0,3.7
Extortion,,,,,0.0,0.0
Forgery,,,,,0.0,0.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.1,0.1
Grievous hurt,,,,,3.1,3.1
House trespass & house breaking,,,,,0.0,0.0
Human trafficking,,,,,0.0,0.0
Hurt,15.1,10.6,3.3,2.7,3.1,7.0
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.1,0.1
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.5,0.1,0.0,0.0,0.1,0.1
Kidnapping,,,,,0.0,0.0
Kidnapping & abduction,11.7,11.7,6.2,3.9,8.0,8.3
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,2.0,1.4,,0.1,,1.2
Kidnapping & abduction of women and girls,19.7,22.7,11.9,8.4,,15.7
Kidnapping & abduction of women to compel her for marriage,,,,,4.4,4.4
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.8,,,0.8
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,5.6,5.4,2.4,1.9,1.9,3.4
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,74.4,86.2,56.7,67.8,48.8,66.8
Other cases of assault on women to outrage her modesty,,,,,0.0,0.0
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,5.9,5.9
Other rape,3.1,5.3,1.6,1.2,0.03333333333333333,2.2
Other rape other than custodial,,,,,1.3,1.3
Other theft,12.0,13.2,6.5,6.0,8.5,9.2
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.3,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,3.1,5.3,1.6,1.2,1.4,2.5
Rape other than custodial,,,,,1.4,1.4
Riots,6.5,6.1,2.4,1.8,3.3,4.0
Riots others,,,,,3.3,3.3
Robbery,3.0,4.6,3.0,1.5,3.3,3.1
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,2.8,2.8
Sexual harassment and molestation of women,9.4,10.6,4.3,4.4,9.7,7.7
Stalking,,,,,4.6,4.6
Student riots,,,,,0.0,0.0
Theft,43.9,59.5,37.8,27.3,37.7,41.2
Total cognizable crimes under IPC,250.8,262.4,156.1,144.7,178.5,198.5
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,2.2,2.2
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.0,0.0
