crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.0,0.0,0.0,0.0,0.0,0.0
Assault on women with intent to outrage her modesty,3.3,3.7,7.2,10.4,8.5,6.6
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,0.4,0.6,1.1,0.8,0.7,0.7
Attempt to commit rape,,,,,0.0,0.0
Auto theft,3.8,3.8,4.7,4.8,5.2,4.5
Burglary,0.5,0.4,0.7,0.6,0.4,0.5
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,2.7,2.9,3.6,3.2,3.3,3.1
Causing injuries under rash driving/road rage,,,,,30.6,30.6
Cheating,9.6,11.5,14.9,14.5,13.6,12.8
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,0.6,0.4,0.2,0.2,0.2,0.3
Counterfeiting currency - notes or bank notes,,,,,0.1,0.1
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,2.5,2.4,3.0,2.4,2.4,2.5
Criminal trespass/burglary,,,,,0.3,0.3
Cruelty by husband or his relatives,5.9,8.2,12.7,14.8,16.8,11.7
Culpable homicide not amounting to murder,0.3,0.2,0.2,0.3,0.2,0.2
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.0,0.0,0.1,0.0,0.0,0.0
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.3,0.3
Deaths due to rash/negligent driving,,,,,3.0,3.0
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.2,0.2,0.3,0.2,0.2,0.2
Extortion,,,,,1.2,1.2
Forgery,,,,,0.0,0.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.1,0.1
Grievous hurt,,,,,6.4,6.4
House trespass & house breaking,,,,,0.1,0.1
Human trafficking,,,,,0.1,0.1
Hurt,15.2,16.1,24.9,24.8,6.4,17.5
Importation of girls from foreign country,0.0,0.0,0.1,0.1,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,4.0,4.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.1,0.1
Insult to the modesty of women,2.0,2.1,5.5,6.1,4.2,4.0
Kidnapping,,,,,0.8,0.8
Kidnapping & abduction,0.9,1.0,1.9,1.5,2.4,1.5
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.3,0.2,,0.5,,0.3
Kidnapping & abduction of women and girls,1.3,1.7,3.1,2.1,,2.0
Kidnapping & abduction of women to compel her for marriage,,,,,1.6,1.6
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.4,,,0.4
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.1,0.1
Murder,0.4,0.4,0.6,0.5,0.5,0.5
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,52.1,50.4,77.3,84.1,73.0,67.4
Other cases of assault on women to outrage her modesty,,,,,3.9,3.9
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.7,0.7
Other rape,0.5,0.7,1.0,1.1,0.0,0.7
Other rape other than custodial,,,,,0.4,0.4
Other theft,19.8,21.2,30.5,30.0,27.2,25.7
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.2,0.3,0.1,0.2,,0.2
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,0.5,0.7,1.0,1.1,0.5,0.8
Rape other than custodial,,,,,0.5,0.5
Riots,2.1,2.4,2.8,2.6,2.2,2.4
Riots others,,,,,2.2,2.2
Robbery,0.1,0.2,0.3,0.3,0.2,0.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,2.0,2.0
Sexual harassment and molestation of women,5.3,5.9,12.7,16.5,12.7,10.6
Stalking,,,,,1.7,1.7
Student riots,,,,,0.0,0.0
Theft,23.6,25.0,35.1,34.8,32.4,30.2
Total cognizable crimes under IPC,117.3,121.5,179.8,186.5,185.4,158.1
Unlawful assembly,,,,,0.8,0.8
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.6,0.6
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.4,0.4
