crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.0,0.0
Arson,0.4,0.4,0.3,0.1,0.3,0.3
Assault on women with intent to outrage her modesty,3.7,3.0,4.1,11.0,13.3,7.0
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,5.8,4.2,4.8,4.5,4.2,4.7
Attempt to commit rape,,,,,2.8,2.8
Auto theft,33.8,14.4,13.9,15.1,12.9,18.0
Burglary,15.3,11.3,12.1,12.3,16.0,13.4
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,14.3,12.4,13.9,15.3,14.9,14.2
Causing injuries under rash driving/road rage,,,,,0.0,0.0
Cheating,27.6,22.4,17.4,18.9,21.6,21.6
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.1,0.1
Counterfeiting,0.3,0.1,0.1,0.1,0.1,0.1
Counterfeiting currency - notes or bank notes,,,,,0.1,0.1
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,2.6,2.0,2.8,2.9,1.8,2.4
Criminal trespass/burglary,,,,,0.4,0.4
Cruelty by husband or his relatives,14.7,13.8,18.3,18.9,21.4,17.4
Culpable homicide not amounting to murder,0.9,0.4,0.7,0.4,0.5,0.6
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.4,0.1,0.1,0.2,0.1,0.2
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,14.9,14.9
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.9,1.8,1.4,1.8,0.7,1.3
Extortion,,,,,0.2,0.2
Forgery,,,,,0.0,0.0
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.3,0.3
Grievous hurt,,,,,12.8,12.8
House trespass & house breaking,,,,,15.6,15.6
Human trafficking,,,,,0.0,0.0
Hurt,15.6,12.6,12.0,12.0,12.9,13.0
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,2.6,2.6
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,1.5,1.4,1.9,2.8,2.6,2.0
Kidnapping,,,,,0.0,0.0
Kidnapping & abduction,10.3,4.7,7.6,9.0,15.2,9.4
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,2.9,0.7,,2.2,,1.9
Kidnapping & abduction of women and girls,13.8,8.7,13.4,14.9,,12.7
Kidnapping & abduction of women to compel her for marriage,,,,,15.3,15.3
Kidnapping for ransom,,,,,0.0,0.0
Kidnapping of others,,,1.5,,,1.5
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,1.5,1.5
Murder,5.8,3.7,4.9,4.4,4.5,4.7
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,75.9,56.8,63.3,63.5,60.9,64.1
Other cases of assault on women to outrage her modesty,,,,,11.2,11.2
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,8.2,8.2
Other rape,7.0,5.7,9.3,14.8,0.03333333333333333,7.4
Other rape other than custodial,,,,,14.7,14.7
Other theft,26.3,14.4,17.3,15.6,24.4,19.6
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.4,0.7,1.3,0.7,,0.8
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,7.0,5.7,9.3,14.8,15.0,10.4
Rape other than custodial,,,,,15.0,15.0
Riots,0.0,0.0,0.0,0.0,0.0,0.0
Riots others,,,,,0.0,0.0
Robbery,2.2,0.6,1.2,0.6,1.4,1.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,1.4,1.4
Sexual harassment and molestation of women,5.1,4.3,6.0,13.8,15.8,9.0
Stalking,,,,,0.3,0.3
Student riots,,,,,0.0,0.0
Theft,60.1,28.9,31.2,30.7,37.4,37.7
Total cognizable crimes under IPC,252.5,173.0,189.9,197.9,219.7,206.6
Unlawful assembly,,,,,0.0,0.0
Unnatural offences,,,,,0.6,0.6
Use of criminal force with intent to disrobe women,,,,,0.3,0.3
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0,0.0
Voyeurism,,,,,0.1,0.1
