crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,1.5,1.3,1.0,0.4,0.4,0.9
Assault on women with intent to outrage her modesty,6.2,5.0,4.9,13.0,13.7,8.6
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,2.8,2.0,1.7,1.3,1.9,1.9
Attempt to commit rape,,,,,0.0,0.0
Auto theft,83.6,69.0,39.3,31.3,43.8,53.4
Burglary,45.8,33.0,22.8,17.9,19.1,27.7
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,18.8,11.3,11.8,8.1,11.0,12.2
Causing injuries under rash driving/road rage,,,,,31.3,31.3
Cheating,16.2,12.6,8.9,9.9,8.3,11.2
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.8,0.8
Counterfeiting,2.0,0.9,1.1,1.5,0.8,1.3
Counterfeiting currency - notes or bank notes,,,,,0.7,0.7
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,4.5,2.0,1.8,2.0,1.7,2.4
Criminal trespass/burglary,,,,,16.3,16.3
Cruelty by husband or his relatives,16.8,15.6,19.9,24.5,27.1,20.8
Culpable homicide not amounting to murder,0.1,0.3,0.0,0.1,0.0,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,2.1,1.8,0.9,0.8,0.8,1.3
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.1,0.1
Deaths due to rash/negligent driving,,,,,10.9,10.9
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.3,0.7,0.4,1.0,0.4,0.6
Extortion,,,,,1.0,1.0
Forgery,,,,,0.1,0.1
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.3,0.3
Grievous hurt,,,,,4.2,4.2
House trespass & house breaking,,,,,2.9,2.9
Human trafficking,,,,,0.0,0.0
Hurt,23.3,16.5,14.7,15.9,4.2,14.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.1,0.0
Imputation or assertions prejudicial to national integration,,,,,0.1,0.1
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.4,0.4
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,2.4,1.4,2.2,1.2,0.4,1.5
Kidnapping,,,,,3.2,3.2
Kidnapping & abduction,2.3,1.0,1.2,2.0,3.8,2.1
Kidnapping & abduction in order to murder,,,,,0.2,0.2
Kidnapping & abduction of others,0.7,0.3,,1.0,,0.7
Kidnapping & abduction of women and girls,2.6,1.5,1.8,2.2,,2.0
Kidnapping & abduction of women to compel her for marriage,,,,,0.4,0.4
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.3,,,0.3
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,1.9,1.9
Murder,3.2,2.4,2.0,2.2,1.7,2.3
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.1,0.1
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,60.2,39.9,113.2,125.0,59.5,79.6
Other cases of assault on women to outrage her modesty,,,,,4.3,4.3
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,0.1,0.1
Other rape,4.1,3.4,2.7,2.7,0.26666666666666666,2.6
Other rape other than custodial,,,,,3.5,3.5
Other theft,79.8,65.0,29.1,26.6,23.5,44.8
Political riots,,,,,0.1,0.1
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,1.1,0.4,0.8,1.2,,0.9
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,4.1,3.4,2.7,2.7,3.8,3.3
Rape other than custodial,,,,,3.8,3.8
Riots,12.7,7.1,6.0,6.0,4.1,7.2
Riots others,,,,,4.0,4.0
Robbery,10.2,9.9,10.4,9.3,7.9,9.5
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,6.4,6.4
Sexual harassment and molestation of women,8.7,6.4,7.0,14.2,14.1,10.1
Stalking,,,,,0.9,0.9
Student riots,,,,,0.0,0.0
Theft,163.4,134.0,68.5,57.9,67.4,98.2
Total cognizable crimes under IPC,389.2,288.7,280.9,281.6,248.4,297.8
Unlawful assembly,,,,,0.1,0.1
Unnatural offences,,,,,0.1,0.1
Use of criminal force with intent to disrobe women,,,,,2.0,2.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1,0.1
Voyeurism,,,,,0.0,0.0
