crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.0,0.0
Agrarian riots,,,,,0.0,0.0
Arson,0.2,0.1,0.1,0.1,0.1,0.1
Assault on women with intent to outrage her modesty,1.2,1.7,1.4,4.6,3.5,2.5
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,0.7,0.8,0.6,0.7,0.9,0.7
Attempt to commit rape,,,,,0.0,0.0
Auto theft,44.4,27.5,28.3,20.5,19.3,28.0
Burglary,9.7,7.8,7.3,7.9,5.6,7.7
Caste conflict riots,,,,,0.2,0.2
Causing death by negligence,12.9,5.3,5.0,4.6,5.3,6.6
Causing injuries under rash driving/road rage,,,,,14.3,14.3
Cheating,4.5,4.2,3.9,4.1,7.2,4.8
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.2,0.2
Counterfeiting,1.3,0.9,0.3,0.2,0.2,0.6
Counterfeiting currency - notes or bank notes,,,,,0.1,0.1
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,1.2,0.7,0.5,0.5,0.6,0.7
Criminal trespass/burglary,,,,,4.0,4.0
Cruelty by husband or his relatives,13.6,14.0,15.2,24.9,20.5,17.6
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.2,0.2,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0,0.0
Dacoity,0.4,0.3,0.1,0.2,0.3,0.3
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.0,0.0
Deaths due to rash/negligent driving,,,,,5.3,5.3
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,0.2,0.0,0.2,0.1,0.1,0.1
Extortion,,,,,0.2,0.2
Forgery,,,,,0.4,0.4
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,7.7,7.7
House trespass & house breaking,,,,,1.6,1.6
Human trafficking,,,,,0.0,0.0
Hurt,19.8,9.9,9.6,8.4,7.7,11.1
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,0.0,0.0
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,0.1,0.2,0.0,0.0,0.0,0.1
Kidnapping,,,,,2.7,2.7
Kidnapping & abduction,2.9,2.4,2.0,6.7,5.7,3.9
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,0.7,0.6,,2.5,,1.3
Kidnapping & abduction of women and girls,3.2,4.2,3.3,9.9,,5.2
Kidnapping & abduction of women to compel her for marriage,,,,,5.1,5.1
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.5,,,0.5
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.0,0.0
Murder,3.1,2.2,2.1,2.2,1.9,2.3
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.0,0.0
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,128.9,98.9,118.0,443.0,2.5,158.3
Other cases of assault on women to outrage her modesty,,,,,1.2,1.2
Other caste conflict riots,,,,,0.2,0.2
Other kidnapping & abduction,,,,,0.7,0.7
Other rape,1.2,1.8,2.0,3.9,0.09999999999999999,1.8
Other rape other than custodial,,,,,4.6,4.6
Other theft,16.5,12.4,12.9,13.7,9.4,13.0
Political riots,,,,,0.0,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,0.2,0.1,0.1,0.1,,0.1
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0,0.0
Rape,1.2,1.8,2.0,3.9,4.8,2.7
Rape other than custodial,,,,,4.8,4.8
Riots,3.1,1.4,1.4,1.3,0.9,1.6
Riots others,,,,,0.7,0.7
Robbery,2.8,1.7,1.5,1.2,0.7,1.6
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,2.3,2.3
Sexual harassment and molestation of women,1.3,1.9,1.4,4.6,3.6,2.6
Stalking,,,,,0.1,0.1
Student riots,,,,,0.0,0.0
Theft,60.9,39.9,41.1,34.2,28.7,41.0
Total cognizable crimes under IPC,264.2,184.2,201.7,530.1,95.9,255.2
Unlawful assembly,,,,,0.1,0.1
Unnatural offences,,,,,0.0,0.0
Use of criminal force with intent to disrobe women,,,,,0.0,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1,0.1
Voyeurism,,,,,0.0,0.0
