crime_name,2010,2011,2012,2013,2014,avg
Acid attack,,,,,0.1,0.1
Agrarian riots,,,,,0.2,0.2
Arson,,0.5,0.5,0.4,0.3,0.4
Assault on women with intent to outrage her modesty,,3.3,8.0,11.5,19.8,10.7
Attempt to acid attack,,,,,0.0,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0,0.0
Attempt to commit murder,,1.2,1.4,2.2,1.4,1.6
Attempt to commit rape,,,,,0.0,0.0
Auto theft,,20.2,25.1,29.4,30.7,26.4
Burglary,,25.5,37.8,32.1,38.3,33.4
Caste conflict riots,,,,,0.0,0.0
Causing death by negligence,,13.3,17.1,14.3,14.5,14.8
Causing injuries under rash driving/road rage,,,,,10.5,10.5
Cheating,,7.5,15.6,18.3,17.4,14.7
Communal riots,,,,,0.0,0.0
Counterfeit currency & bank notes total,,,,,0.8,0.8
Counterfeiting,,0.2,0.1,0.2,0.8,0.3
Counterfeiting currency - notes or bank notes,,,,,0.0,0.0
Counterfeiting government stamp,,,,,0.0,0.0
Criminal breach of trust,,0.7,1.4,1.3,2.3,1.4
Criminal trespass/burglary,,,,,28.7,28.7
Cruelty by husband or his relatives,,2.1,4.5,13.3,8.9,7.2
Culpable homicide not amounting to murder,,0.2,0.2,0.2,0.5,0.3
Custodial rape,,0.0,0.0,0.0,0.0,0.0
Dacoity,,0.0,0.9,0.3,1.0,0.6
Dacoity with murder,,,,,0.0,0.0
Deaths due to other causes,,,,,0.6,0.6
Deaths due to rash/negligent driving,,,,,13.9,13.9
Disclosure of identity of victims,,,,,0.0,0.0
Dowry deaths,,0.0,0.3,0.5,0.0,0.2
Extortion,,,,,0.2,0.2
Forgery,,,,,0.9,0.9
Gang rape,,,,,0.0,0.0
Gang rape other than custodial,,,,,0.2,0.2
Grievous hurt,,,,,6.2,6.2
House trespass & house breaking,,,,,9.6,9.6
Human trafficking,,,,,0.0,0.0
Hurt,,13.8,21.5,21.3,6.3,15.7
Importation of girls from foreign country,,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0,0.0
Industrial riots,,,,,0.0,0.0
Insult to modesty of women at office premises,,,,,0.0,0.0
Insult to modesty of women at other places,,,,,2.8,2.8
Insult to modesty of women in other places related to work,,,,,0.0,0.0
Insult to modesty of women in public transport system,,,,,0.0,0.0
Insult to the modesty of women,,1.7,1.0,4.2,2.8,2.4
Kidnapping,,,,,2.2,2.2
Kidnapping & abduction,,1.3,2.1,2.0,7.0,3.1
Kidnapping & abduction in order to murder,,,,,0.0,0.0
Kidnapping & abduction of others,,0.8,,1.1,,1.0
Kidnapping & abduction of women and girls,,1.0,3.0,1.9,,2.0
Kidnapping & abduction of women to compel her for marriage,,,,,0.2,0.2
Kidnapping for ransom,,,,,0.1,0.1
Kidnapping of others,,,0.7,,,0.7
Making or possessing materials for forged currency/bank notes,,,,,0.0,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0,0.0
Making preparation and assembly for committing dacoity,,,,,0.5,0.5
Murder,,2.5,2.5,3.4,2.9,2.8
Offences against state,,,,,0.0,0.0
Offences promoting enmity between different groups,,,,,0.1,0.1
Offences related to counterfeit coin,,,,,0.0,0.0
Other IPC crimes,,15.6,13.8,16.5,27.4,18.3
Other cases of assault on women to outrage her modesty,,,,,14.9,14.9
Other caste conflict riots,,,,,0.0,0.0
Other kidnapping & abduction,,,,,4.6,4.6
Other rape,,3.7,3.5,9.6,0.3333333333333333,4.3
Other rape other than custodial,,,,,10.3,10.3
Other theft,,17.1,20.2,27.4,34.0,24.7
Political riots,,,,,0.2,0.2
Possession of forged or counterfeiting currency/bank notes,,,,,0.0,0.0
Preparation & assembly for dacoity,,0.2,0.4,0.2,,0.3
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1,0.1
Rape,,3.7,3.5,9.6,10.5,6.8
Rape other than custodial,,,,,10.5,10.5
Riots,,6.1,8.8,6.5,8.1,7.4
Riots others,,,,,7.8,7.8
Robbery,,10.4,11.8,14.3,14.6,12.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0,0.0
Sectarian riots,,,,,0.0,0.0
Sedition,,,,,0.0,0.0
Sexual harassment,,,,,2.4,2.4
Sexual harassment and molestation of women,,5.1,9.1,15.7,22.6,13.1
Stalking,,,,,1.4,1.4
Student riots,,,,,0.0,0.0
Theft,,37.3,45.4,56.8,64.7,51.0
Total cognizable crimes under IPC,,141.4,189.4,208.8,239.7,194.8
Unlawful assembly,,,,,0.2,0.2
Unnatural offences,,,,,0.1,0.1
Use of criminal force with intent to disrobe women,,,,,0.9,0.9
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.8,0.8
Voyeurism,,,,,0.2,0.2
