crime,category,class
Acid attack,NA,na
Agrarian riots,NA,na
Arson,Property Crime,prop-crime
Assault on women with intent to outrage her modesty,NA,na
Attempt to acid attack,NA,na
Attempt to commit culpable homicide not amounting to murder,NA,na
Attempt to commit murder,Violent Crime,violent-crime
Attempt to commit rape,NA,na
Auto theft,Property Crime,prop-crime
Burglary,Property Crime,prop-crime
Caste conflict riots,NA,na
Causing death by negligence,Other Crime,other-crime
Causing injuries under rash driving or road rage,Other Crime,other-crime
Cheating,Economic Crime,econ-crime
Communal riots,NA,na
Counterfeit currency & bank notes total,NA,na
Counterfeiting,Economic Crime,other-crime
Counterfeiting currency - notes or bank notes,NA,na
Counterfeiting government stamp,NA,na
Criminal breach of trust,Economic Crime,econ-crime
Criminal trespass or burglary,NA,na
Cruelty by husband or his relatives,Crime Against Women,women-crime
Culpable homicide not amounting to murder,Violent Crime,violent-crime
Custodial rape,NA,na
Dacoity,Property Crime,prop-crime
Dacoity with murder,NA,na
Deaths due to other causes,NA,na
Deaths due to rash or negligent driving,Other Crime,other-crime
Disclosure of identity of victims,NA,na
Dowry deaths,Crime Against Women,women-crime
Extortion,Other Crime,other-crime
Forgery,Economic Crime,econ-crime
Gang rape,NA,na
Gang rape other than custodial,NA,na
Grievous hurt,Other Crime,other-crime
House trespass & house breaking,NA,na
Human trafficking,NA,na
Hurt,Other Crime,other-crime
Importation of girls from foreign country,NA,na
Imputation or assertions prejudicial to national integration,NA,na
Industrial riots,NA,na
Insult to modesty of women at office premises,NA,na
Insult to modesty of women at other places,NA,na
Insult to modesty of women in other places related to work,NA,na
Insult to modesty of women in public transport system,NA,na
Insult to the modesty of women,NA,na
Kidnapping & abduction,Violent Crime,violent-crime
Kidnapping & abduction in order to murder,NA,na
Kidnapping & abduction of others,NA,na
Kidnapping & abduction of women and girls,NA,na
Kidnapping & abduction of women to compel her for marriage,NA,na
Kidnapping for ransom,NA,na
Kidnapping of others,NA,na
Making or possessing materials for forged currency or bank notes,NA,na
Making or using documents resembling currency notes or bank notes,NA,na
Making preparation and assembly for committing dacoity,NA,na
Molestation,Crime Against Women,women-crime
Murder,Violent Crime,violent-crime
Offences against state,NA,na
Offences promoting enmity between different groups,NA,na
Offences related to counterfeit coin,NA,na
Other cases of assault on women to outrage her modesty,NA,na
Other caste conflict riots,NA,na
Other dacoity,NA,na
Other IPC crimes,Other Crime,other-crime
Other Kidnapping & abduction,NA,na
Other offences against state,NA,na
Other rape,NA,na
Other rape other than custodial,NA,na
Other theft,Property Crime,prop-crime
Political riots,NA,na
Possession of forged or counterfeiting currency or bank notes,NA,na
Preparation & assembly for dacoity,NA,na
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",NA,na
Rape,Crime Against Women,women-crime
Rape other than custodial,NA,na
Riots,Violent Crime,violent-crime
Riots others,NA,na
Robbery,Property Crime,prop-crime
SCs-STs vs Non-SCs-STs riots,NA,na
Sectarian riots,NA,na
Sedition,NA,na
Sexual harassment,NA,na
Sexual harassment and molestation of women,Crime Against Women,women-crime
Stalking,NA,na
Student riots,NA,na
Theft,NA,na
Total cognizable crimes under IPC,NA,na
Unlawful assembly,Other Crime,other-crime
Unnatural offences,NA,na
Use of Criminal force with intent to disrobe women,NA,na
"Using as genuine, forged or counterfeiting currency or bank notes",NA,na
Voyeurism,NA,na
