city,year,crime_original,crime_name,crime_section,incidences,rate
Agra,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),58,4.4
Agra,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),61,4.6
Agra,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",26,2
Ahmedabad,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),82,1.8
Ahmedabad,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),66,1.5
Ahmedabad,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",4,0.1
Allahabad,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),44,4.2
Allahabad,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),47,4.5
Allahabad,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",4,0.4
Amritsar,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),53,5.2
Amritsar,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),71,7
Amritsar,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",7,0.7
Asansol,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),34,3.1
Asansol,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),8,0.7
Asansol,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",14,1.3
Bengaluru,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),266,4.7
Bengaluru,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),445,7.8
Bengaluru,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",5,0.1
Bhopal,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),49,3.4
Bhopal,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),59,4.1
Bhopal,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",3,0.2
Chennai,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),103,1.6
Chennai,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),158,2.5
Chennai,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",2,0
Coimbatore,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),22,1.5
Coimbatore,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),27,1.9
Coimbatore,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",0,0
Delhi City,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),453,3.5
Delhi City,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),260,2
Delhi City,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",63,0.5
Dhanbad,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),17,1.6
Dhanbad,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),10,0.9
Dhanbad,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",7,0.7
Faridabad,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),70,6.6
Faridabad,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),49,4.6
Faridabad,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",5,0.5
Hyderabad,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),134,2.4
Hyderabad,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),143,2.6
Hyderabad,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",8,0.1
Indore,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),80,4.9
Indore,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),129,7.9
Indore,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",2,0.1
Jabalpur,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),48,4.3
Jabalpur,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),71,6.4
Jabalpur,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",0,0
Jaipur,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),65,2.8
Jaipur,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),68,2.9
Jaipur,2010,"C.H. Not Amounting To Murder (Sec. 304, 308 IPC)",Culpable homicide not amounting to murder,"(Sec. 304, 308 IPC)",7,0.3
Jamshedpur,2010,Murder (Sec. 302 IPC),Murder,(Sec. 302 IPC),52,4.7
Jamshedpur,2010,Attempt To Commit Murder (Sec. 307 IPC),Attempt to commit murder,(Sec. 307 IPC),27,2.5
