city,year,crime_name,incidences,rate
India,2010,Total cognizable crimes under IPC,2224831,187.6
Delhi,2010,Total cognizable crimes under IPC,45994,359.6
Mumbai,2010,Total cognizable crimes under IPC,33932,207.3
Bengaluru,2010,Total cognizable crimes under IPC,32188,566
Kochi,2010,Total cognizable crimes under IPC,25715,1897.8
Ahmedabad,2010,Total cognizable crimes under IPC,21442,474.5
Hyderabad,2010,Total cognizable crimes under IPC,17549,317.1
Jaipur,2010,Total cognizable crimes under IPC,16717,719.3
Kolkata,2010,Total cognizable crimes under IPC,15510,117.3
Indore,2010,Total cognizable crimes under IPC,14230,868.2
Pune,2010,Total cognizable crimes under IPC,13602,362.1
Bhopal,2010,Total cognizable crimes under IPC,11974,823
Chennai,2010,Total cognizable crimes under IPC,10869,169.2
Lucknow,2010,Total cognizable crimes under IPC,10316,455.1
Patna,2010,Total cognizable crimes under IPC,9017,528.2
Nagpur,2010,Total cognizable crimes under IPC,7728,364
Surat,2010,Total cognizable crimes under IPC,7426,264.2
Vishakhapatnam,2010,Total cognizable crimes under IPC,7112,535.1
Kanpur,2010,Total cognizable crimes under IPC,6747,250.8
Jabalpur,2010,Total cognizable crimes under IPC,6205,555.5
Vijayawada,2010,Total cognizable crimes under IPC,5833,577
Vadodara,2010,Total cognizable crimes under IPC,5352,358.7
Faridabad,2010,Total cognizable crimes under IPC,4920,466.4
Agra,2010,Total cognizable crimes under IPC,4802,363.5
Nasik,2010,Total cognizable crimes under IPC,4484,389.2
Coimbatore,2010,Total cognizable crimes under IPC,4180,289.1
Rajkot,2010,Total cognizable crimes under IPC,4024,401.6
Ludhiana,2010,Total cognizable crimes under IPC,3522,252.5
Meerut,2010,Total cognizable crimes under IPC,3307,283.4
Jamshedpur,2010,Total cognizable crimes under IPC,2732,247.9
Madurai,2010,Total cognizable crimes under IPC,2672,223.6
Varanasi,2010,Total cognizable crimes under IPC,2129,175.7
Allahabad,2010,Total cognizable crimes under IPC,1973,187.9
Asansol,2010,Total cognizable crimes under IPC,1841,168.7
Amritsar,2010,Total cognizable crimes under IPC,1833,181.3
Dhanbad,2010,Total cognizable crimes under IPC,1006,94.5
India,2010,Theft,330312,27.9
Delhi,2010,Theft,21373,167.1
Mumbai,2010,Theft,13195,80.6
Bengaluru,2010,Theft,10568,185.8
Hyderabad,2010,Theft,4916,88.8
Jaipur,2010,Theft,4825,207.6
Pune,2010,Theft,4674,124.4
Ahmedabad,2010,Theft,4659,103.1
Indore,2010,Theft,3462,211.2
Kolkata,2010,Theft,3118,23.6
Lucknow,2010,Theft,2591,114.3
Bhopal,2010,Theft,2443,167.9
Patna,2010,Theft,2117,124
Nasik,2010,Theft,1882,163.4
Nagpur,2010,Theft,1732,81.6
Surat,2010,Theft,1712,60.9
Agra,2010,Theft,1706,129.1
Faridabad,2010,Theft,1672,158.5
Chennai,2010,Theft,1540,24
Vadodara,2010,Theft,1529,102.5
Vijayawada,2010,Theft,1324,131
Meerut,2010,Theft,1295,111
Vishakhapatnam,2010,Theft,1234,92.9
Kanpur,2010,Theft,1181,43.9
Coimbatore,2010,Theft,1084,75
Rajkot,2010,Theft,1039,103.7
Ludhiana,2010,Theft,839,60.1
Jamshedpur,2010,Theft,702,63.7
Jabalpur,2010,Theft,641,57.4
Allahabad,2010,Theft,614,58.5
Varanasi,2010,Theft,601,49.6
Madurai,2010,Theft,500,41.8
Dhanbad,2010,Theft,441,41.4
Asansol,2010,Theft,323,29.6
Amritsar,2010,Theft,257,25.4
Kochi,2010,Theft,233,17.2
India,2010,Sexual harassment,9961,1.7
Vijayawada,2010,Sexual harassment,219,29.6
Bhopal,2010,Sexual harassment,139,15.5
Mumbai,2010,Sexual harassment,138,1.6
Kolkata,2010,Sexual harassment,133,2.0
Pune,2010,Sexual harassment,91,3.8
Faridabad,2010,Sexual harassment,78,11.9
Delhi,2010,Sexual harassment,73,1.0
Agra,2010,Sexual harassment,61,7.6
Hyderabad,2010,Sexual harassment,60,1.6
Vishakhapatnam,2010,Sexual harassment,52,6.1
Bengaluru,2010,Sexual harassment,50,1.2
Jabalpur,2010,Sexual harassment,49,8.1
Nagpur,2010,Sexual harassment,48,3.9
Indore,2010,Sexual harassment,47,4.5
Chennai,2010,Sexual harassment,23,0.5
Kochi,2010,Sexual harassment,23,2.1
Madurai,2010,Sexual harassment,20,2.7
Nasik,2010,Sexual harassment,18,2.4
Ludhiana,2010,Sexual harassment,11,1.5
Ahmedabad,2010,Sexual harassment,9,0.3
Kanpur,2010,Sexual harassment,7,0.5
Rajkot,2010,Sexual harassment,7,1.1
Amritsar,2010,Sexual harassment,4,0.7
Patna,2010,Sexual harassment,3,0.3
Coimbatore,2010,Sexual harassment,1,0.1
Jamshedpur,2010,Sexual harassment,1,0.2
Surat,2010,Sexual harassment,1,0.1
Allahabad,2010,Sexual harassment,0,0.0
Asansol,2010,Sexual harassment,0,0.0
Dhanbad,2010,Sexual harassment,0,0.0
Jaipur,2010,Sexual harassment,0,0.0
Lucknow,2010,Sexual harassment,0,0.0
Meerut,2010,Sexual harassment,0,0.0
Vadodara,2010,Sexual harassment,0,0.0
Varanasi,2010,Sexual harassment,0,0.0
India,2010,Robbery,23393,2
Ahmedabad,2010,Robbery,805,17.8
Bengaluru,2010,Robbery,641,11.3
Delhi,2010,Robbery,554,4.3
Pune,2010,Robbery,452,12
Mumbai,2010,Robbery,410,2.5
Nagpur,2010,Robbery,259,12.2
Jaipur,2010,Robbery,253,10.9
Indore,2010,Robbery,210,12.8
Bhopal,2010,Robbery,191,13.1
Patna,2010,Robbery,131,7.7
Meerut,2010,Robbery,118,10.1
Nasik,2010,Robbery,117,10.2
Lucknow,2010,Robbery,86,3.8
Kanpur,2010,Robbery,81,3
Surat,2010,Robbery,80,2.8
Madurai,2010,Robbery,77,6.4
Chennai,2010,Robbery,74,1.2
Hyderabad,2010,Robbery,54,1
Jabalpur,2010,Robbery,52,4.7
Vishakhapatnam,2010,Robbery,40,3
Agra,2010,Robbery,37,2.8
Kochi,2010,Robbery,34,2.5
Rajkot,2010,Robbery,34,3.4
Ludhiana,2010,Robbery,30,2.2
Coimbatore,2010,Robbery,25,1.7
Jamshedpur,2010,Robbery,25,2.3
Allahabad,2010,Robbery,22,2.1
Faridabad,2010,Robbery,20,1.9
Vijayawada,2010,Robbery,20,2
Vadodara,2010,Robbery,19,1.3
Kolkata,2010,Robbery,18,0.1
Dhanbad,2010,Robbery,11,1
Amritsar,2010,Robbery,9,0.9
Varanasi,2010,Robbery,9,0.7
Asansol,2010,Robbery,5,0.5
India,2010,Riots,67571,5.7
Hyderabad,2010,Riots,513,9.3
Pune,2010,Riots,393,10.5
Mumbai,2010,Riots,391,2.4
Bengaluru,2010,Riots,349,6.1
Kolkata,2010,Riots,282,2.1
Kochi,2010,Riots,244,18
Patna,2010,Riots,194,11.4
Nagpur,2010,Riots,183,8.6
