city,f_pop
Agra,804026
Ahmedabad,3003990
Allahabad,560985
Amritsar,553591
Asansol,595177
Aurangabad,569279
Bengaluru,4058151
Bhopal,897973
Chandigarh,462555
Chennai,4306810
Coimbatore,1073654
Delhi,7575625
Dhanbad,561935
Durg-Bhilainagar,518394
Faridabad,654207
Ghaziabad,1101742
Gwalior,513229
Hyderabad,3764094
India,586469174
Indore,1038099
Jabalpur,604468
Jaipur,1454070
Jamshedpur,640273
Jodhpur,538483
Kannur,885123
Kanpur,1335100
Kochi,1075181
Kolkata,6792854
Kollam,580167
Kota,471570
Kozhikode,1064381
Lucknow,1382523
Ludhiana,739105
Madurai,729559
Malappuram,889491
Meerut,670051
Mumbai,8520200
Nagpur,1222027
Nasik,738128
Patna,958788
Pune,2390484
Raipur,544216
Rajkot,659724
Ranchi,540107
Srinagar,596052
Surat,1971526
Thiruvananthapuram,872206
Thrissur,978734
Tiruchirappalli,514537
Vadodara,870911
Varanasi,674053
Vasai-Virar,571698
Vijayawada,740432
Vishakhapatnam,854529
