,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.1,0.1,0.3,0.4,0.1
Assault on women with intent to outrage her modesty,2.4,2.8,2.6,6.0,5.4
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,1.5,1.1,0.8,1.1,1.0
Attempt to commit rape,,,,,0.0
Auto theft,68.6,36.3,35.5,32.9,26.7
Burglary,17.7,13.1,11.0,10.6,7.9
Caste conflict riots,,,,,0.1
Causing death by negligence,4.5,2.9,3.8,4.2,5.2
Causing injuries under rash driving/road rage,,,,,27.6
Cheating,4.7,4.5,3.9,4.0,3.4
Communal riots,,,,,0.3
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.4,0.2,0.3,0.4,0.2
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,5.8,4.9,4.7,3.6,2.7
Criminal trespass/burglary,,,,,3.7
Cruelty by husband or his relatives,40.9,46.3,48.2,58.5,26.7
Culpable homicide not amounting to murder,0.1,0.0,0.1,0.0,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.6,0.5,0.4,0.3,0.3
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.1
Deaths due to rash/negligent driving,,,,,5.1
Disclosure of identity of victims,,,,,0.0
Dowry deaths,0.4,0.6,0.4,0.7,0.4
Extortion,,,,,0.4
Forgery,,,,,0.1
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,3.8
House trespass & house breaking,,,,,4.2
Human trafficking,,,,,0.0
Hurt,30.2,22.5,20.8,21.1,3.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.1
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.3,0.5,0.2,0.3,0.1
Kidnapping,,,,,1.6
Kidnapping & abduction,4.6,3.6,3.6,7.2,5.8
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.7,0.7,,1.7,
Kidnapping & abduction of women and girls,5.9,6.1,6.1,11.8,
Kidnapping & abduction of women to compel her for marriage,,,,,6.7
Kidnapping for ransom,,,,,0.1
Kidnapping of others,,,0.7,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,1.8,1.5,1.4,1.5,1.3
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,247.5,163.7,190.7,181.7,117.3
Other cases of assault on women to outrage her modesty,,,,,2.6
Other caste conflict riots,,,,,0.1
Other kidnapping & abduction,,,,,0.9
Other rape,1.6,2.0,2.1,3.9,0.09999999999999999
Other rape other than custodial,,,,,3.3
Other theft,34.5,24.7,21.6,21.4,14.1
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.1
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,1.6,2.0,2.1,3.9,3.3
Rape other than custodial,,,,,3.3
Riots,3.8,2.5,2.5,2.4,1.4
Riots others,,,,,0.9
Robbery,17.8,11.3,9.5,9.2,4.1
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,2.3
Sexual harassment and molestation of women,2.7,3.3,2.9,6.3,5.5
Stalking,,,,,0.4
Student riots,,,,,0.0
Theft,103.1,61.0,57.0,54.3,40.8
Total cognizable crimes under IPC,474.5,318.1,336.1,334.7,240.6
Unlawful assembly,,,,,0.3
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.1
