,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.2
Agrarian riots,,,,,0.0
Arson,0.1,0.2,0.4,0.3,0.0
Assault on women with intent to outrage her modesty,1.6,2.0,3.0,16.4,17.1
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,4.5,4.9,4.9,4.1,4.8
Attempt to commit rape,,,,,0.0
Auto theft,45.8,68.1,60.1,75.4,108.9
Burglary,12.3,11.0,11.1,13.6,15.6
Caste conflict riots,,,,,0.0
Causing death by negligence,29.2,14.6,5.9,6.2,6.4
Causing injuries under rash driving/road rage,,,,,19.0
Cheating,13.4,12.7,15.6,21.7,24.6
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.5
Counterfeiting,3.0,0.9,0.6,0.7,0.5
Counterfeiting currency - notes or bank notes,,,,,0.5
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,4.1,5.5,3.9,4.2,4.8
Criminal trespass/burglary,,,,,15.6
Cruelty by husband or his relatives,11.4,16.4,23.5,27.8,31.4
Culpable homicide not amounting to murder,0.4,0.6,0.6,1.0,0.7
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.2,0.2,0.2,0.1,0.2
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,6.4
Disclosure of identity of victims,,,,,0.0
Dowry deaths,2.5,1.8,1.6,2.7,2.5
Extortion,,,,,0.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.4
Grievous hurt,,,,,1.6
House trespass & house breaking,,,,,0.0
Human trafficking,,,,,0.0
Hurt,24.3,18.1,7.1,2.2,1.7
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.2
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.2,0.0,0.0,0.2
Kidnapping,,,,,0.7
Kidnapping & abduction,3.8,5.6,4.9,9.4,8.5
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,1.0,1.0,,3.5,
Kidnapping & abduction of women and girls,5.3,10.0,9.3,12.8,
Kidnapping & abduction of women to compel her for marriage,,,,,9.3
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.7,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,4.2,4.8,2.6,3.6,2.7
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,15.0,40.0,76.7,121.6,127.0
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,3.5
Other rape,1.2,1.8,2.0,4.6,0.06666666666666667
Other rape other than custodial,,,,,3.2
Other theft,12.7,16.3,15.0,26.0,26.5
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.1,0.4,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,1.2,1.8,2.0,4.6,3.6
Rape other than custodial,,,,,3.6
Riots,4.0,3.7,3.2,3.6,1.9
Riots others,,,,,1.7
Robbery,2.1,4.4,1.8,2.2,6.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,8.9
Sexual harassment and molestation of women,1.6,2.1,3.0,16.4,17.3
Stalking,,,,,7.1
Student riots,,,,,0.2
Theft,58.5,84.4,75.1,101.5,135.3
Total cognizable crimes under IPC,187.9,222.0,229.1,320.0,385.7
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.7
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.4
