,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.7,0.9,0.8,1.2
Assault on women with intent to outrage her modesty,3.5,9.3,29.4,16.8
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,0.4
Attempt to commit murder,3.7,4.1,4.8,2.9
Attempt to commit rape,,,,1.1
Auto theft,83.2,81.5,82.9,77.1
Burglary,25.8,22.0,24.2,12.4
Caste conflict riots,,,,0.0
Causing death by negligence,0.7,0.3,0.6,8.8
Causing injuries under rash driving/road rage,,,,25.9
Cheating,24.0,22.4,26.7,23.6
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.0
Counterfeiting,0.0,0.2,0.1,0.0
Counterfeiting currency - notes or bank notes,,,,0.0
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,2.3,3.1,2.3,2.1
Criminal trespass/burglary,,,,7.9
Cruelty by husband or his relatives,9.1,14.3,19.0,29.6
Culpable homicide not amounting to murder,0.6,0.3,0.3,0.6
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.6,0.3,1.1,0.4
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.8
Deaths due to rash/negligent driving,,,,8.0
Disclosure of identity of victims,,,,0.0
Dowry deaths,0.4,0.9,0.2,0.4
Extortion,,,,0.6
Forgery,,,,0.3
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.0
Grievous hurt,,,,1.9
House trespass & house breaking,,,,4.5
Human trafficking,,,,0.0
Hurt,4.2,3.4,5.0,1.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,0.2
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,2.4,5.0,5.4,0.2
Kidnapping,,,,9.8
Kidnapping & abduction,4.8,7.4,22.9,16.3
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.9,,7.2,
Kidnapping & abduction of women and girls,8.6,12.3,34.8,
Kidnapping & abduction of women to compel her for marriage,,,,8.4
Kidnapping for ransom,,,,0.1
Kidnapping of others,,1.9,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.2
Murder,2.0,1.8,1.8,2.0
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.0
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,95.1,96.2,109.3,44.4
Other cases of assault on women to outrage her modesty,,,,7.6
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,2.5
Other rape,4.5,5.2,8.4,0.13333333333333333
Other rape other than custodial,,,,11.0
Other theft,52.5,58.6,60.6,41.5
Political riots,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,0.0,0.7,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.0
Rape,4.5,5.2,8.4,11.0
Rape other than custodial,,,,11.0
Riots,6.2,4.6,5.2,3.0
Riots others,,,,2.4
Robbery,6.0,5.4,5.5,5.9
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,6.5
Sexual harassment and molestation of women,5.8,14.3,34.8,17.1
Stalking,,,,1.7
Student riots,,,,0.6
Theft,135.8,140.1,143.6,118.6
Total cognizable crimes under IPC,321.1,328.7,382.2,298.6
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.4
Use of criminal force with intent to disrobe women,,,,0.6
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.4
