,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.1
Agrarian riots,,,,,0.0
Arson,0.4,0.2,0.4,0.5,1.0
Assault on women with intent to outrage her modesty,7.3,7.3,8.4,40.5,50.3
Attempt to acid attack,,,,,0.1
Attempt to commit culpable homicide not amounting to murder,,,,,5.4
Attempt to commit murder,2.0,2.0,2.3,3.1,4.1
Attempt to commit rape,,,,,0.8
Auto theft,108.2,82.7,80.9,84.8,130.7
Burglary,10.6,7.5,9.1,14.7,54.2
Caste conflict riots,,,,,0.1
Causing death by negligence,6.8,6.7,4.5,9.7,9.9
Causing injuries under rash driving/road rage,,,,,48.2
Cheating,13.4,14.7,13.9,16.0,25.2
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.4
Counterfeiting,0.3,0.3,0.4,0.4,0.4
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,1.9,1.8,1.9,2.2,3.6
Criminal trespass/burglary,,,,,34.7
Cruelty by husband or his relatives,16.8,19.8,24.7,38.0,37.5
Culpable homicide not amounting to murder,0.5,0.3,0.4,0.3,0.3
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.2,0.2,0.1,0.2,0.4
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,1.7
Deaths due to rash/negligent driving,,,,,8.2
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.5,1.5,1.3,1.7,1.7
Extortion,,,,,1.3
Forgery,,,,,2.2
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,1.7
Grievous hurt,,,,,3.5
House trespass & house breaking,,,,,19.5
Human trafficking,,,,,0.1
Hurt,13.3,10.3,9.1,9.8,3.7
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.1
Insult to modesty of women at other places,,,,,14.1
Insult to modesty of women in other places related to work,,,,,0.3
Insult to modesty of women in public transport system,,,,,0.1
Insult to the modesty of women,1.0,2.0,2.4,10.7,14.7
Kidnapping,,,,,34.3
Kidnapping & abduction,20.6,18.4,20.1,33.1,36.9
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,9.4,8.1,,14.2,
Kidnapping & abduction of women and girls,18.8,22.2,23.6,40.8,
Kidnapping & abduction of women to compel her for marriage,,,,,0.0
Kidnapping for ransom,,,,,0.2
Kidnapping of others,,,9.1,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,3.5,2.7,2.5,2.6,2.9
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.1
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,95.1,74.7,81.1,119.2,117.8
Other cases of assault on women to outrage her modesty,,,,,25.2
Other caste conflict riots,,,,,0.1
Other kidnapping & abduction,,,,,2.4
Other rape,5.5,6.0,7.7,19.0,0.13333333333333333
Other rape other than custodial,,,,,22.3
Other theft,58.9,46.6,43.0,86.7,310.2
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.4
Preparation & assembly for dacoity,0.2,0.1,0.1,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1
Rape,5.5,6.0,7.7,19.0,23.9
Rape other than custodial,,,,,23.9
Riots,0.4,0.3,0.4,0.6,0.9
Riots others,,,,,0.7
Robbery,4.3,2.9,3.2,6.8,35.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,14.1
Sexual harassment and molestation of women,8.2,9.3,10.8,51.2,65.0
Stalking,,,,,6.5
Student riots,,,,,0.0
Theft,167.1,129.3,123.9,171.5,440.9
Total cognizable crimes under IPC,359.6,289.4,294.1,441.9,856.3
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,1.0
Use of criminal force with intent to disrobe women,,,,,4.2
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.4
