,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.0,0.0,0.0,0.0
Assault on women with intent to outrage her modesty,3.2,3.1,11.3,15.2
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,0.0
Attempt to commit murder,3.0,2.6,2.6,2.6
Attempt to commit rape,,,,0.0
Auto theft,88.6,74.3,79.8,84.7
Burglary,7.2,6.8,6.1,5.2
Caste conflict riots,,,,0.0
Causing death by negligence,10.2,8.2,10.0,9.7
Causing injuries under rash driving/road rage,,,,13.2
Cheating,12.9,9.6,12.3,13.9
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.0
Counterfeiting,0.1,0.2,0.4,0.0
Counterfeiting currency - notes or bank notes,,,,0.0
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,4.7,3.6,2.8,5.3
Criminal trespass/burglary,,,,5.2
Cruelty by husband or his relatives,12.3,20.1,43.2,50.9
Culpable homicide not amounting to murder,0.8,0.8,1.2,0.8
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.1,0.1,0.2,0.3
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.7
Deaths due to rash/negligent driving,,,,9.0
Disclosure of identity of victims,,,,0.0
Dowry deaths,2.0,2.0,2.3,1.5
Extortion,,,,1.0
Forgery,,,,0.0
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.4
Grievous hurt,,,,0.3
House trespass & house breaking,,,,0.0
Human trafficking,,,,0.0
Hurt,0.4,0.3,1.4,0.4
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,0.7
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,4.3,3.4,0.0,0.7
Kidnapping,,,,3.4
Kidnapping & abduction,5.5,6.4,8.2,11.7
Kidnapping & abduction in order to murder,,,,2.3
Kidnapping & abduction of others,1.1,,1.7,
Kidnapping & abduction of women and girls,9.3,11.8,13.9,
Kidnapping & abduction of women to compel her for marriage,,,,12.8
Kidnapping for ransom,,,,0.0
Kidnapping of others,,0.9,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.2
Murder,3.5,2.7,1.8,3.1
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.1
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,57.6,70.8,91.7,71.2
Other cases of assault on women to outrage her modesty,,,,1.7
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,0.0
Other rape,0.5,1.4,4.6,0.09999999999999999
Other rape other than custodial,,,,6.4
Other theft,21.6,18.0,23.4,22.9
Political riots,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,0.0,0.5,0.3,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.1
Rape,0.5,1.4,4.6,6.8
Rape other than custodial,,,,6.8
Riots,2.8,1.4,1.4,1.6
Riots others,,,,1.6
Robbery,3.2,2.7,2.6,3.1
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,7.5
Sexual harassment and molestation of women,7.4,6.4,11.3,16.0
Stalking,,,,4.2
Student riots,,,,0.0
Theft,110.2,92.3,103.2,107.6
Total cognizable crimes under IPC,232.6,222.7,275.0,286.4
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.1
Use of criminal force with intent to disrobe women,,,,1.7
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.1
