,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.1,1.0,1.1,0.9,0.3
Assault on women with intent to outrage her modesty,18.9,28.3,26.5,32.1,36.6
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.1
Attempt to commit murder,6.4,8.0,8.0,7.1,7.3
Attempt to commit rape,,,,,1.2
Auto theft,39.7,32.8,35.7,30.7,39.1
Burglary,23.3,27.4,31.5,28.2,29.5
Caste conflict riots,,,,,0.0
Causing death by negligence,8.7,8.8,9.5,10.6,11.4
Causing injuries under rash driving/road rage,,,,,149.3
Cheating,7.2,6.4,9.9,8.8,7.0
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.0,0.0,0.0,0.0,0.2
Counterfeiting currency - notes or bank notes,,,,,0.2
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,0.3,0.9,0.5,1.0,0.6
Criminal trespass/burglary,,,,,24.7
Cruelty by husband or his relatives,19.5,21.3,24.2,18.7,27.0
Culpable homicide not amounting to murder,0.0,0.2,0.1,0.4,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.1,0.0,0.0,0.1,0.0
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.7
Deaths due to rash/negligent driving,,,,,10.7
Disclosure of identity of victims,,,,,0.0
Dowry deaths,4.1,4.3,1.5,3.0,2.8
Extortion,,,,,0.6
Forgery,,,,,0.7
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.3
Grievous hurt,,,,,7.3
House trespass & house breaking,,,,,4.8
Human trafficking,,,,,0.2
Hurt,78.3,183.5,163.7,182.5,7.3
Importation of girls from foreign country,0.1,0.2,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,5.1
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,8.1,4.5,6.8,3.5,5.1
Kidnapping,,,,,8.4
Kidnapping & abduction,2.4,1.9,2.1,8.8,28.3
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.2,0.6,,1.5,
Kidnapping & abduction of women and girls,4.1,2.8,4.1,15.4,
Kidnapping & abduction of women to compel her for marriage,,,,,15.4
Kidnapping for ransom,,,,,0.2
Kidnapping of others,,,0.2,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.3
Murder,4.3,3.9,3.8,3.7,4.5
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,322.6,180.9,246.3,198.9,301.0
Other cases of assault on women to outrage her modesty,,,,,36.6
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,12.4
Other rape,13.4,10.6,14.4,19.0,0.0
Other rape other than custodial,,,,,18.4
Other theft,17.7,17.7,13.6,22.9,17.1
Political riots,,,,,0.5
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.6,0.7,0.4,0.6,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,13.4,10.6,14.4,19.0,18.7
Rape other than custodial,,,,,18.7
Riots,4.5,5.3,2.0,3.2,3.4
Riots others,,,,,2.9
Robbery,4.7,4.8,5.7,7.0,8.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,0.0
Sexual harassment and molestation of women,27.0,32.8,33.3,35.6,41.7
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,57.4,50.6,49.3,53.6,56.2
Total cognizable crimes under IPC,555.5,517.4,568.8,551.7,660.6
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.3
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
