,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.1,0.2,0.1,0.2,0.1
Assault on women with intent to outrage her modesty,6.2,9.8,10.0,15.6,14.7
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.1
Attempt to commit murder,0.8,0.7,0.5,1.0,1.4
Attempt to commit rape,,,,,0.2
Auto theft,7.3,3.4,3.8,4.9,5.1
Burglary,5.8,3.6,4.2,4.2,7.4
Caste conflict riots,,,,,0.0
Causing death by negligence,0.2,0.1,0.1,0.1,5.4
Causing injuries under rash driving/road rage,,,,,634.1
Cheating,21.9,29.2,29.7,24.6,35.4
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.1
Counterfeiting,0.0,0.0,0.1,0.0,0.1
Counterfeiting currency - notes or bank notes,,,,,0.1
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,1.0,0.4,0.4,1.2,0.7
Criminal trespass/burglary,,,,,5.9
Cruelty by husband or his relatives,13.6,12.6,11.8,11.9,15.4
Culpable homicide not amounting to murder,0.2,0.0,0.0,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.1,0.3,0.2,0.2,0.1
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.1
Deaths due to rash/negligent driving,,,,,5.3
Disclosure of identity of victims,,,,,0.0
Dowry deaths,0.2,0.0,0.0,0.0,0.0
Extortion,,,,,0.1
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,2.3
House trespass & house breaking,,,,,1.6
Human trafficking,,,,,0.1
Hurt,20.8,17.8,21.0,21.8,2.3
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,1.7
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,2.1,3.0,1.5,2.1,1.7
Kidnapping,,,,,0.0
Kidnapping & abduction,0.6,0.5,0.3,0.5,0.2
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.2,0.0,,0.0,
Kidnapping & abduction of women and girls,0.5,0.9,0.5,0.8,
Kidnapping & abduction of women to compel her for marriage,,,,,0.1
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.0,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.4
Murder,0.3,0.7,0.4,0.2,0.6
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.1
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,1788.0,1534.5,711.6,532.2,72.2
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.1
Other rape,1.9,2.8,2.6,3.7,0.03333333333333333
Other rape other than custodial,,,,,6.0
Other theft,9.9,11.1,10.7,9.6,10.5
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,1.1,1.6,1.7,0.9,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1
Rape,1.9,2.8,2.6,3.7,6.0
Rape other than custodial,,,,,6.0
Riots,18.0,16.2,18.6,15.7,2.7
Riots others,,,,,2.7
Robbery,2.5,1.8,1.2,1.8,0.8
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,14.7
Sexual harassment and molestation of women,8.4,12.7,11.5,17.8,16.4
Stalking,,,,,0.0
Student riots,,,,,0.0
Theft,17.2,14.5,14.5,14.5,15.6
Total cognizable crimes under IPC,1897.8,1636.4,817.9,636.3,806.8
Unlawful assembly,,,,,6.6
Unnatural offences,,,,,0.6
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
