,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,1.5,1.3,1.5,1.2
Assault on women with intent to outrage her modesty,33.1,29.5,34.1,49.5
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,4.9
Attempt to commit murder,3.5,3.7,3.2,3.1
Attempt to commit rape,,,,0.0
Auto theft,8.1,8.8,5.0,5.9
Burglary,9.5,11.9,10.5,8.6
Caste conflict riots,,,,0.0
Causing death by negligence,0.1,0.0,18.4,16.3
Causing injuries under rash driving/road rage,,,,127.7
Cheating,7.5,8.1,13.9,16.8
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.2
Counterfeiting,0.0,0.1,0.4,0.2
Counterfeiting currency - notes or bank notes,,,,0.2
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,1.3,0.5,0.7,0.8
Criminal trespass/burglary,,,,0.8
Cruelty by husband or his relatives,55.0,57.9,52.4,51.0
Culpable homicide not amounting to murder,0.3,0.5,0.7,0.4
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.4,0.3,0.3,0.2
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.0
Deaths due to rash/negligent driving,,,,16.3
Disclosure of identity of victims,,,,0.0
Dowry deaths,0.2,0.7,0.2,0.2
Extortion,,,,0.0
Forgery,,,,1.3
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.0
Grievous hurt,,,,11.9
House trespass & house breaking,,,,7.7
Human trafficking,,,,0.0
Hurt,103.2,90.3,86.7,11.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,2.2
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,3.3,7.1,2.9,2.2
Kidnapping,,,,0.0
Kidnapping & abduction,1.9,1.9,1.6,1.2
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.1,,0.2,
Kidnapping & abduction of women and girls,3.4,3.1,2.8,
Kidnapping & abduction of women to compel her for marriage,,,,1.4
Kidnapping for ransom,,,,0.0
Kidnapping of others,,0.3,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.0
Murder,1.2,1.9,1.4,0.9
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.5
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,319.5,409.5,456.8,536.4
Other cases of assault on women to outrage her modesty,,,,0.0
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,0.5
Other rape,8.6,7.9,11.0,0.06666666666666667
Other rape other than custodial,,,,13.4
Other theft,12.3,10.3,8.6,7.0
Political riots,,,,2.1
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,1.9,2.4,3.6,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.5
Rape,8.6,7.9,11.0,13.4
Rape other than custodial,,,,13.4
Riots,54.2,26.4,28.0,27.1
Riots others,,,,24.9
Robbery,1.4,5.6,5.9,5.7
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,49.5
Sexual harassment and molestation of women,36.4,36.5,37.1,51.7
Stalking,,,,0.0
Student riots,,,,0.2
Theft,20.5,19.1,13.5,12.9
Total cognizable crimes under IPC,580.2,637.3,699.9,839.1
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.4
Use of criminal force with intent to disrobe women,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
