,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.2,0.3,0.4,0.1
Assault on women with intent to outrage her modesty,12.3,15.5,21.4,21.6
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,1.9
Attempt to commit murder,10.0,6.8,7.5,9.3
Attempt to commit rape,,,,0.4
Auto theft,67.0,40.8,61.1,61.4
Burglary,12.0,8.6,11.2,13.5
Caste conflict riots,,,,0.0
Causing death by negligence,10.8,11.0,10.5,11.9
Causing injuries under rash driving/road rage,,,,64.8
Cheating,49.9,75.5,90.4,91.6
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.2
Counterfeiting,0.1,0.0,0.1,0.2
Counterfeiting currency - notes or bank notes,,,,0.2
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,1.6,2.1,0.9,0.9
Criminal trespass/burglary,,,,3.1
Cruelty by husband or his relatives,87.6,90.8,108.6,114.0
Culpable homicide not amounting to murder,0.6,0.1,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.0,0.0,0.1,0.1
Dacoity with murder,,,,0.1
Deaths due to other causes,,,,0.4
Deaths due to rash/negligent driving,,,,11.5
Disclosure of identity of victims,,,,0.0
Dowry deaths,1.1,1.1,1.3,0.6
Extortion,,,,2.1
Forgery,,,,0.0
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.6
Grievous hurt,,,,2.8
House trespass & house breaking,,,,10.4
Human trafficking,,,,0.2
Hurt,14.4,11.5,8.4,2.8
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,0.0
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,0.0,0.0,1.1,0.0
Kidnapping,,,,3.5
Kidnapping & abduction,9.1,8.2,20.4,18.7
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,1.7,,5.0,
Kidnapping & abduction of women and girls,15.7,13.1,32.7,
Kidnapping & abduction of women to compel her for marriage,,,,21.6
Kidnapping for ransom,,,,0.1
Kidnapping of others,,2.0,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.4
Murder,3.5,2.8,1.9,1.9
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.4
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,166.3,151.9,177.2,132.5
Other cases of assault on women to outrage her modesty,,,,14.2
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,4.9
Other rape,5.1,9.5,18.2,0.0
Other rape other than custodial,,,,20.6
Other theft,19.2,18.8,22.8,27.5
Political riots,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,0.9,0.7,0.9,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.4
Rape,5.1,9.5,18.2,21.2
Rape other than custodial,,,,21.2
Riots,0.2,0.0,0.0,0.0
Riots others,,,,0.0
Robbery,1.5,2.7,1.9,2.7
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,6.4
Sexual harassment and molestation of women,12.3,15.5,22.5,21.6
Stalking,,,,1.1
Student riots,,,,0.0
Theft,86.2,59.5,83.9,88.9
Total cognizable crimes under IPC,417.2,396.8,486.7,524.3
Unlawful assembly,,,,4.8
Unnatural offences,,,,0.1
Use of criminal force with intent to disrobe women,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
