,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.5,0.6,0.6,0.4
Assault on women with intent to outrage her modesty,11.6,9.7,10.3,10.1
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,1.7
Attempt to commit murder,0.7,0.3,0.7,0.6
Attempt to commit rape,,,,0.2
Auto theft,5.2,3.3,5.3,8.1
Burglary,6.7,4.5,5.3,9.0
Caste conflict riots,,,,0.0
Causing death by negligence,0.0,0.1,0.0,6.9
Causing injuries under rash driving/road rage,,,,97.6
Cheating,9.3,8.1,7.3,12.8
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.4
Counterfeiting,0.0,0.0,0.1,0.4
Counterfeiting currency - notes or bank notes,,,,0.3
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,1.5,0.9,0.8,1.7
Criminal trespass/burglary,,,,6.7
Cruelty by husband or his relatives,16.1,13.5,12.8,17.3
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.1
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.0,0.1,0.2,0.0
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.3
Deaths due to rash/negligent driving,,,,6.6
Disclosure of identity of victims,,,,0.0
Dowry deaths,0.0,0.0,0.0,0.1
Extortion,,,,0.0
Forgery,,,,0.1
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.0
Grievous hurt,,,,1.5
House trespass & house breaking,,,,2.3
Human trafficking,,,,0.0
Hurt,33.7,31.1,29.1,1.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,0.8
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,9.4,7.8,4.1,0.8
Kidnapping,,,,0.0
Kidnapping & abduction,0.5,0.2,0.5,0.1
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.0,,0.1,
Kidnapping & abduction of women and girls,0.9,0.3,0.9,
Kidnapping & abduction of women to compel her for marriage,,,,0.0
Kidnapping for ransom,,,,0.0
Kidnapping of others,,0.1,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.0
Murder,0.2,0.3,0.5,0.4
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.0
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,87.2,111.8,105.2,51.9
Other cases of assault on women to outrage her modesty,,,,9.4
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,0.0
Other rape,1.3,3.4,2.8,0.0
Other rape other than custodial,,,,3.3
Other theft,6.6,3.7,4.3,5.8
Political riots,,,,0.8
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,1.5,0.9,0.3,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.0
Rape,1.3,3.4,2.8,3.3
Rape other than custodial,,,,3.3
Riots,22.0,17.4,16.5,10.8
Riots others,,,,9.3
Robbery,2.4,3.2,2.1,2.6
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,0.6
Sexual harassment and molestation of women,21.0,17.5,14.5,10.9
Stalking,,,,0.1
Student riots,,,,0.7
Theft,11.9,7.0,9.6,13.9
Total cognizable crimes under IPC,198.2,204.6,194.9,229.7
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.3
Use of criminal force with intent to disrobe women,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
