,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.0,0.1,0.0,0.1,0.4
Assault on women with intent to outrage her modesty,7.0,7.5,8.0,18.9,16.6
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.6
Attempt to commit murder,3.0,2.2,2.4,3.4,2.3
Attempt to commit rape,,,,,0.1
Auto theft,75.0,44.1,54.7,56.6,70.2
Burglary,18.3,14.1,13.8,17.3,19.6
Caste conflict riots,,,,,0.0
Causing death by negligence,16.5,14.1,13.8,10.1,7.0
Causing injuries under rash driving/road rage,,,,,10.8
Cheating,33.1,24.2,28.9,33.6,29.0
Communal riots,,,,,0.3
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,2.2,0.7,0.2,0.3,0.2
Counterfeiting currency - notes or bank notes,,,,,0.1
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,19.1,12.9,13.0,17.7,15.8
Criminal trespass/burglary,,,,,11.9
Cruelty by husband or his relatives,43.8,32.8,32.7,58.0,40.6
Culpable homicide not amounting to murder,0.8,0.9,0.5,0.4,0.6
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.5,0.3,0.2,0.3,0.0
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,1.1
Deaths due to rash/negligent driving,,,,,5.9
Disclosure of identity of victims,,,,,0.0
Dowry deaths,3.6,2.3,1.1,2.8,2.2
Extortion,,,,,1.4
Forgery,,,,,1.5
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.1
Grievous hurt,,,,,3.1
House trespass & house breaking,,,,,7.7
Human trafficking,,,,,0.0
Hurt,1.5,1.1,2.6,1.2,3.1
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.1
Insult to modesty of women at other places,,,,,0.0
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.0,0.1,0.1,0.1
Kidnapping,,,,,9.6
Kidnapping & abduction,11.1,7.5,7.4,9.5,12.0
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.2,0.3,,0.2,
Kidnapping & abduction of women and girls,17.8,15.2,14.7,19.5,
Kidnapping & abduction of women to compel her for marriage,,,,,4.8
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.4,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,3.7,3.0,3.4,3.2,3.7
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.1
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,185.4,129.1,124.2,175.8,194.0
Other cases of assault on women to outrage her modesty,,,,,2.8
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.0
Other rape,3.8,2.7,1.7,4.0,0.0
Other rape other than custodial,,,,,3.6
Other theft,39.3,24.4,23.4,27.5,31.0
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.2,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1
Rape,3.8,2.7,1.7,4.0,3.8
Rape other than custodial,,,,,3.8
Riots,6.2,4.2,4.7,3.7,2.5
Riots others,,,,,2.2
Robbery,3.8,1.8,1.5,1.6,2.5
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,9.7
Sexual harassment and molestation of women,7.0,7.5,8.1,19.0,16.7
Stalking,,,,,2.7
Student riots,,,,,0.0
Theft,114.3,68.5,78.1,84.1,101.2
Total cognizable crimes under IPC,455.1,306.5,315.3,402.2,439.2
Unlawful assembly,,,,,0.6
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,1.4
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.1
Voyeurism,,,,,0.0
