,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.1,0.6,0.4,0.2
Assault on women with intent to outrage her modesty,4.2,3.7,5.5,8.4
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,0.1
Attempt to commit murder,0.2,0.3,0.4,0.6
Attempt to commit rape,,,,0.0
Auto theft,3.7,0.7,1.4,1.8
Burglary,3.6,2.2,2.8,2.7
Caste conflict riots,,,,0.0
Causing death by negligence,0.1,0.1,0.1,4.2
Causing injuries under rash driving/road rage,,,,76.4
Cheating,4.5,4.6,6.3,5.8
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.1
Counterfeiting,0.0,0.1,0.0,0.1
Counterfeiting currency - notes or bank notes,,,,0.1
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,0.1,0.2,0.1,0.2
Criminal trespass/burglary,,,,2.5
Cruelty by husband or his relatives,14.2,13.2,11.4,11.2
Culpable homicide not amounting to murder,0.0,0.1,0.1,0.1
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.0,0.0,0.0,0.0
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.0
Deaths due to rash/negligent driving,,,,4.2
Disclosure of identity of victims,,,,0.0
Dowry deaths,0.0,0.0,0.0,0.0
Extortion,,,,0.1
Forgery,,,,0.0
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.0
Grievous hurt,,,,1.2
House trespass & house breaking,,,,0.2
Human trafficking,,,,0.0
Hurt,10.5,9.3,9.8,1.2
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,0.0
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,0.2,0.4,0.3,0.0
Kidnapping,,,,0.0
Kidnapping & abduction,0.4,0.2,0.1,0.2
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.2,,0.0,
Kidnapping & abduction of women and girls,0.4,0.0,0.1,
Kidnapping & abduction of women to compel her for marriage,,,,0.1
Kidnapping for ransom,,,,0.0
Kidnapping of others,,0.2,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.0
Making preparation and assembly for committing dacoity,,,,0.0
Murder,0.2,0.0,0.1,0.2
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.1
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,97.6,84.0,78.9,22.6
Other cases of assault on women to outrage her modesty,,,,8.1
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,0.1
Other rape,1.8,1.2,1.8,0.0
Other rape other than custodial,,,,1.1
Other theft,2.3,2.9,2.0,2.4
Political riots,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.1
Rape,1.8,1.2,1.8,1.1
Rape other than custodial,,,,1.1
Riots,8.5,7.6,12.8,9.1
Riots others,,,,9.1
Robbery,0.6,0.5,0.4,0.8
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,0.3
Sexual harassment and molestation of women,4.4,4.2,5.8,8.4
Stalking,,,,0.0
Student riots,,,,0.0
Theft,6.0,3.6,3.4,4.2
Total cognizable crimes under IPC,143.0,123.1,125.5,139.7
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.0
Use of criminal force with intent to disrobe women,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
