,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.0,0.3,0.1,0.6,0.0
Assault on women with intent to outrage her modesty,5.1,7.0,9.4,22.5,32.4
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.8
Attempt to commit murder,4.7,5.9,6.8,9.7,9.1
Attempt to commit rape,,,,,0.3
Auto theft,81.4,91.8,87.0,111.9,150.9
Burglary,9.3,10.8,12.1,12.4,13.5
Caste conflict riots,,,,,0.0
Causing death by negligence,17.5,10.2,11.3,12.4,12.6
Causing injuries under rash driving/road rage,,,,,28.8
Cheating,20.1,20.9,20.0,19.4,18.2
Communal riots,,,,,0.6
Counterfeit currency & bank notes total,,,,,0.4
Counterfeiting,1.8,0.5,0.5,0.4,0.4
Counterfeiting currency - notes or bank notes,,,,,0.4
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,6.3,4.5,5.0,4.0,4.7
Criminal trespass/burglary,,,,,0.3
Cruelty by husband or his relatives,32.1,14.8,43.0,0.0,59.6
Culpable homicide not amounting to murder,0.4,0.6,0.8,0.4,0.8
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.3,0.4,0.6,0.4,0.6
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,12.6
Disclosure of identity of victims,,,,,0.0
Dowry deaths,2.1,2.7,2.2,2.4,3.0
Extortion,,,,,0.0
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,2.2
Grievous hurt,,,,,0.7
House trespass & house breaking,,,,,13.2
Human trafficking,,,,,0.0
Hurt,1.0,0.8,1.0,0.9,0.7
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.0
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.0,0.0,0.0,0.0
Kidnapping,,,,,0.0
Kidnapping & abduction,8.0,11.0,7.9,13.8,16.4
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,1.5,1.3,,2.5,
Kidnapping & abduction of women and girls,11.2,20.7,12.7,24.0,
Kidnapping & abduction of women to compel her for marriage,,,,,22.5
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,2.0,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.1
Murder,2.9,5.2,4.3,7.1,6.5
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,53.1,78.8,79.8,101.4,56.8
Other cases of assault on women to outrage her modesty,,,,,10.9
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,5.8
Other rape,2.8,3.4,3.3,9.3,0.19999999999999998
Other rape other than custodial,,,,,3.7
Other theft,29.6,32.4,26.9,35.7,39.6
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.1,0.1,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,2.8,3.4,3.3,9.3,6.0
Rape other than custodial,,,,,6.0
Riots,12.7,8.8,8.2,8.5,11.3
Riots others,,,,,10.7
Robbery,10.1,9.2,9.3,13.2,11.6
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,13.6
Sexual harassment and molestation of women,5.1,7.0,9.4,22.5,32.4
Stalking,,,,,6.4
Student riots,,,,,0.0
Theft,111.0,124.2,114.0,147.6,190.5
Total cognizable crimes under IPC,283.4,305.5,309.1,368.5,430.9
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,1.5
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
