,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.1,0.2,0.5,0.3,0.3
Assault on women with intent to outrage her modesty,5.6,6.5,7.2,13.7,19.1
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,1.0,1.0,0.9,1.0,1.0
Attempt to commit rape,,,,,0.0
Auto theft,25.5,25.5,22.1,20.6,19.5
Burglary,18.7,14.9,13.6,15.9,16.6
Caste conflict riots,,,,,0.0
Causing death by negligence,4.2,3.6,3.4,3.2,3.2
Causing injuries under rash driving/road rage,,,,,22.4
Cheating,13.5,10.6,9.9,11.6,14.1
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.2
Counterfeiting,0.5,0.4,0.3,0.3,0.2
Counterfeiting currency - notes or bank notes,,,,,0.1
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,2.9,3.0,3.1,3.8,3.6
Criminal trespass/burglary,,,,,13.7
Cruelty by husband or his relatives,3.7,4.6,4.6,7.1,6.6
Culpable homicide not amounting to murder,0.0,0.0,0.0,0.0,0.0
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.2,0.2,0.2,0.2,0.2
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.3
Deaths due to rash/negligent driving,,,,,2.9
Disclosure of identity of victims,,,,,0.0
Dowry deaths,0.2,0.2,0.1,0.3,0.3
Extortion,,,,,1.3
Forgery,,,,,5.3
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.2
Grievous hurt,,,,,10.9
House trespass & house breaking,,,,,2.8
Human trafficking,,,,,0.5
Hurt,27.4,23.4,21.4,21.3,10.9
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,3.9
Insult to modesty of women in other places related to work,,,,,0.3
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,1.6,1.9,2.8,5.2,4.3
Kidnapping,,,,,2.4
Kidnapping & abduction,1.2,1.2,1.2,2.1,2.9
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.3,0.3,,0.7,
Kidnapping & abduction of women and girls,1.7,1.9,1.7,3.0,
Kidnapping & abduction of women to compel her for marriage,,,,,0.2
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.4,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.1
Murder,1.4,1.1,1.2,0.9,1.0
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,43.3,35.1,34.9,39.8,49.6
Other cases of assault on women to outrage her modesty,,,,,9.2
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.4
Other rape,2.3,2.6,2.7,4.6,0.06666666666666667
Other rape other than custodial,,,,,6.9
Other theft,55.2,45.0,36.8,36.8,35.3
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.3,0.2,0.2,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,2.3,2.6,2.7,4.6,7.1
Rape other than custodial,,,,,7.1
Riots,2.4,2.1,2.0,2.1,2.2
Riots others,,,,,2.2
Robbery,2.5,2.5,6.1,15.0,11.4
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,7.6
Sexual harassment and molestation of women,7.2,8.4,10.0,18.9,23.3
Stalking,,,,,1.5
Student riots,,,,,0.0
Theft,80.6,70.5,58.9,57.4,54.9
Total cognizable crimes under IPC,207.3,177.3,165.7,189.2,219.2
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.1
Use of criminal force with intent to disrobe women,,,,,0.6
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.2
