,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.9,0.9,1.3,1.0,1.3
Assault on women with intent to outrage her modesty,7.1,5.6,6.9,17.1,22.8
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,3.3,3.0,3.4,3.4,3.7
Attempt to commit rape,,,,,0.2
Auto theft,40.1,45.7,53.4,57.2,64.2
Burglary,28.2,29.4,35.3,46.4,43.0
Caste conflict riots,,,,,0.0
Causing death by negligence,15.6,9.7,11.9,12.9,12.7
Causing injuries under rash driving/road rage,,,,,43.9
Cheating,12.4,11.8,10.6,10.7,15.8
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.1
Counterfeiting,1.1,0.9,0.3,0.1,0.1
Counterfeiting currency - notes or bank notes,,,,,0.1
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,3.4,2.7,2.0,2.8,2.1
Criminal trespass/burglary,,,,,33.1
Cruelty by husband or his relatives,14.3,14.2,13.6,17.8,19.1
Culpable homicide not amounting to murder,0.2,0.5,0.6,0.3,0.2
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.6,0.5,0.5,0.6,0.6
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,12.7
Disclosure of identity of victims,,,,,0.0
Dowry deaths,0.7,0.3,0.5,0.3,0.8
Extortion,,,,,1.6
Forgery,,,,,0.1
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.3
Grievous hurt,,,,,12.5
House trespass & house breaking,,,,,9.8
Human trafficking,,,,,0.0
Hurt,39.7,35.1,39.0,40.5,12.5
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,2.0
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,3.9,4.3,4.3,4.3,2.0
Kidnapping,,,,,3.9
Kidnapping & abduction,2.7,1.6,2.1,4.7,5.8
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,1.1,0.6,,1.5,
Kidnapping & abduction of women and girls,2.8,2.0,3.2,6.6,
Kidnapping & abduction of women to compel her for marriage,,,,,3.8
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.6,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.6
Murder,4.1,4.6,3.5,4.1,4.1
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,130.9,102.6,84.9,87.3,93.6
Other cases of assault on women to outrage her modesty,,,,,1.1
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.1
Other rape,4.7,3.7,4.7,7.5,0.19999999999999998
Other rape other than custodial,,,,,8.9
Other theft,41.5,45.8,40.2,53.4,54.4
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.6,0.4,1.2,0.8,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,4.7,3.7,4.7,7.5,9.2
Rape other than custodial,,,,,9.2
Riots,8.6,5.9,6.8,8.3,5.9
Riots others,,,,,5.9
Robbery,12.2,7.9,19.7,19.7,20.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,16.1
Sexual harassment and molestation of women,11.0,9.9,11.2,21.4,24.9
Stalking,,,,,4.3
Student riots,,,,,0.0
Theft,81.6,91.6,93.6,110.6,118.6
Total cognizable crimes under IPC,364.0,322.8,331.3,377.3,414.7
Unlawful assembly,,,,,1.4
Unnatural offences,,,,,0.2
Use of criminal force with intent to disrobe women,,,,,0.9
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.3
