,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.4,0.4,0.6,0.8
Assault on women with intent to outrage her modesty,0.9,1.9,2.0,3.0
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,0.0
Attempt to commit murder,2.4,1.2,1.2,6.7
Attempt to commit rape,,,,1.9
Auto theft,94.1,86.5,98.8,102.0
Burglary,13.9,14.4,16.8,18.1
Caste conflict riots,,,,0.0
Causing death by negligence,15.1,17.1,17.5,7.3
Causing injuries under rash driving/road rage,,,,19.0
Cheating,15.9,22.1,23.2,18.3
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.2
Counterfeiting,0.1,0.0,0.0,0.2
Counterfeiting currency - notes or bank notes,,,,0.0
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,4.1,2.8,3.2,2.8
Criminal trespass/burglary,,,,1.1
Cruelty by husband or his relatives,8.0,8.5,9.6,17.0
Culpable homicide not amounting to murder,0.4,0.0,0.0,0.0
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,1.2,1.4,0.8,0.4
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.0
Deaths due to rash/negligent driving,,,,7.3
Disclosure of identity of victims,,,,0.0
Dowry deaths,2.0,1.1,1.1,1.9
Extortion,,,,4.1
Forgery,,,,4.9
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.9
Grievous hurt,,,,37.4
House trespass & house breaking,,,,17.0
Human trafficking,,,,1.4
Hurt,29.0,34.3,35.7,37.4
Importation of girls from foreign country,0.0,0.0,0.0,0.2
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,1.5
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,0.0,0.7,1.1,1.5
Kidnapping,,,,0.0
Kidnapping & abduction,8.9,7.6,5.3,9.5
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.7,,0.6,
Kidnapping & abduction of women and girls,17.0,14.8,9.8,
Kidnapping & abduction of women to compel her for marriage,,,,16.3
Kidnapping for ransom,,,,0.5
Kidnapping of others,,0.5,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.2
Making preparation and assembly for committing dacoity,,,,0.0
Murder,6.3,5.1,5.8,5.4
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.0
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,80.8,69.5,91.8,61.0
Other cases of assault on women to outrage her modesty,,,,2.0
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,1.2
Other rape,6.3,6.3,8.3,0.13333333333333333
Other rape other than custodial,,,,7.6
Other theft,39.6,67.4,28.3,60.8
Political riots,,,,0.4
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,0.2,0.1,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.0
Rape,6.3,6.3,8.3,8.5
Rape other than custodial,,,,8.5
Riots,7.3,9.1,5.8,4.5
Riots others,,,,4.2
Robbery,5.9,6.3,3.7,5.4
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,0.9
Sexual harassment and molestation of women,0.9,2.6,3.1,4.4
Stalking,,,,0.0
Student riots,,,,0.0
Theft,133.6,153.9,127.1,162.7
Total cognizable crimes under IPC,333.7,354.0,349.2,386.1
Unlawful assembly,,,,0.0
Unnatural offences,,,,0.0
Use of criminal force with intent to disrobe women,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
