,rate,rate,rate,rate
year,2011,2012,2013,2014
crime_name,,,,
Acid attack,,,,0.0
Agrarian riots,,,,0.0
Arson,0.8,0.6,0.4,0.6
Assault on women with intent to outrage her modesty,27.6,25.9,34.3,29.1
Attempt to acid attack,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,7.8
Attempt to commit murder,1.7,0.7,1.1,1.4
Attempt to commit rape,,,,0.2
Auto theft,7.6,6.0,4.9,5.2
Burglary,10.4,9.1,6.3,8.7
Caste conflict riots,,,,0.0
Causing death by negligence,0.2,0.1,0.1,7.4
Causing injuries under rash driving/road rage,,,,522.6
Cheating,23.5,18.0,14.2,17.4
Communal riots,,,,0.0
Counterfeit currency & bank notes total,,,,0.8
Counterfeiting,0.0,0.0,0.0,0.8
Counterfeiting currency - notes or bank notes,,,,0.0
Counterfeiting government stamp,,,,0.0
Criminal breach of trust,1.8,0.7,1.2,1.1
Criminal trespass/burglary,,,,6.8
Cruelty by husband or his relatives,17.9,18.2,17.5,15.4
Culpable homicide not amounting to murder,0.2,0.1,0.4,0.1
Custodial rape,0.0,0.0,0.0,0.0
Dacoity,0.1,0.2,0.2,0.1
Dacoity with murder,,,,0.0
Deaths due to other causes,,,,0.1
Deaths due to rash/negligent driving,,,,7.3
Disclosure of identity of victims,,,,0.0
Dowry deaths,0.0,0.0,0.1,0.2
Extortion,,,,0.8
Forgery,,,,1.4
Gang rape,,,,0.0
Gang rape other than custodial,,,,0.1
Grievous hurt,,,,2.8
House trespass & house breaking,,,,1.9
Human trafficking,,,,0.0
Hurt,58.2,66.2,58.6,2.8
Importation of girls from foreign country,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,0.0
Industrial riots,,,,0.0
Insult to modesty of women at office premises,,,,0.0
Insult to modesty of women at other places,,,,1.7
Insult to modesty of women in other places related to work,,,,0.0
Insult to modesty of women in public transport system,,,,0.0
Insult to the modesty of women,5.3,2.2,3.8,1.7
Kidnapping,,,,0.6
Kidnapping & abduction,1.5,1.4,0.4,0.8
Kidnapping & abduction in order to murder,,,,0.0
Kidnapping & abduction of others,0.7,,0.2,
Kidnapping & abduction of women and girls,1.5,1.8,0.5,
Kidnapping & abduction of women to compel her for marriage,,,,0.3
Kidnapping for ransom,,,,0.0
Kidnapping of others,,0.4,,
Making or possessing materials for forged currency/bank notes,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,0.8
Making preparation and assembly for committing dacoity,,,,1.6
Murder,0.5,0.8,0.6,0.8
Offences against state,,,,0.0
Offences promoting enmity between different groups,,,,0.5
Offences related to counterfeit coin,,,,0.0
Other IPC crimes,204.6,239.2,426.9,100.3
Other cases of assault on women to outrage her modesty,,,,20.5
Other caste conflict riots,,,,0.0
Other kidnapping & abduction,,,,0.1
Other rape,4.5,4.7,6.2,0.03333333333333333
Other rape other than custodial,,,,6.3
Other theft,16.4,10.9,11.2,14.0
Political riots,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,0.0
Preparation & assembly for dacoity,3.4,6.3,4.4,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,0.5
Rape,4.5,4.7,6.2,6.4
Rape other than custodial,,,,6.4
Riots,31.2,37.3,33.5,13.4
Riots others,,,,13.4
Robbery,4.7,6.0,4.3,3.5
SCs/STs vs Non-SCs/STs riots,,,,0.0
Sectarian riots,,,,0.0
Sedition,,,,0.0
Sexual harassment,,,,6.0
Sexual harassment and molestation of women,32.9,28.1,38.1,30.8
Stalking,,,,0.6
Student riots,,,,0.0
Theft,24.0,16.9,16.1,19.3
Total cognizable crimes under IPC,395.4,429.9,600.8,741.2
Unlawful assembly,,,,0.1
Unnatural offences,,,,0.5
Use of criminal force with intent to disrobe women,,,,2.1
"Using as genuine, forged or counterfeiting currency/bank notes",,,,0.0
Voyeurism,,,,0.0
