,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,0.0,0.1,0.0,0.0,0.0
Assault on women with intent to outrage her modesty,0.4,0.1,1.3,18.0,17.2
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,2.8,2.2,2.3,2.6,2.2
Attempt to commit rape,,,,,0.0
Auto theft,37.2,26.8,28.6,38.0,29.3
Burglary,3.4,3.2,5.1,8.8,5.6
Caste conflict riots,,,,,0.0
Causing death by negligence,14.6,5.1,12.1,4.9,4.7
Causing injuries under rash driving/road rage,,,,,0.0
Cheating,17.2,15.3,19.0,29.2,21.8
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.3
Counterfeiting,2.1,1.7,1.7,1.5,0.3
Counterfeiting currency - notes or bank notes,,,,,0.3
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,9.3,6.8,7.6,12.2,8.6
Criminal trespass/burglary,,,,,0.0
Cruelty by husband or his relatives,7.4,7.9,15.6,34.6,26.7
Culpable homicide not amounting to murder,1.2,0.3,0.4,0.1,0.8
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.0,0.1,0.0,0.1,0.0
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,4.7
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.6,3.0,2.2,2.5,1.6
Extortion,,,,,2.2
Forgery,,,,,0.0
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,5.2
House trespass & house breaking,,,,,5.6
Human trafficking,,,,,0.0
Hurt,7.8,3.8,7.4,6.6,5.2
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,0.4
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,0.0,0.0,0.0,0.5,0.4
Kidnapping,,,,,0.0
Kidnapping & abduction,4.0,4.0,3.8,9.4,6.8
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,1.2,0.3,,1.0,
Kidnapping & abduction of women and girls,5.0,7.9,6.7,18.0,
Kidnapping & abduction of women to compel her for marriage,,,,,12.9
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.6,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.1
Murder,1.2,2.3,2.2,2.4,1.7
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,54.8,50.1,43.1,64.1,50.7
Other cases of assault on women to outrage her modesty,,,,,0.0
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.7
Other rape,0.3,0.7,1.6,4.3,0.0
Other rape other than custodial,,,,,4.0
Other theft,12.4,11.1,13.9,17.0,12.3
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.2,0.1,0.0,0.1,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,0.3,0.7,1.6,4.3,4.0
Rape other than custodial,,,,,4.0
Riots,1.3,0.9,1.5,2.9,2.4
Riots others,,,,,2.4
Robbery,0.7,1.3,0.8,2.9,2.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,9.9
Sexual harassment and molestation of women,0.4,0.1,1.3,18.4,17.7
Stalking,,,,,3.6
Student riots,,,,,0.0
Theft,49.6,37.9,42.5,55.0,41.5
Total cognizable crimes under IPC,175.7,140.8,159.0,230.7,180.4
Unlawful assembly,,,,,0.1
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,3.7
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
