,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.0
Agrarian riots,,,,,0.0
Arson,2.0,1.6,2.2,1.6,1.4
Assault on women with intent to outrage her modesty,23.2,33.5,30.1,33.6,37.7
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.1
Attempt to commit murder,4.8,4.4,3.8,3.7,3.0
Attempt to commit rape,,,,,0.5
Auto theft,53.3,40.8,38.0,52.5,45.9
Burglary,22.6,15.6,14.8,21.7,23.1
Caste conflict riots,,,,,0.0
Causing death by negligence,35.9,21.0,24.8,21.8,20.9
Causing injuries under rash driving/road rage,,,,,91.6
Cheating,39.4,28.8,27.9,30.8,26.2
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.8
Counterfeiting,1.6,0.4,0.4,0.4,0.8
Counterfeiting currency - notes or bank notes,,,,,0.0
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,5.1,6.8,8.2,8.3,4.6
Criminal trespass/burglary,,,,,7.1
Cruelty by husband or his relatives,84.5,144.0,153.4,165.7,86.8
Culpable homicide not amounting to murder,0.1,0.3,0.4,0.5,0.1
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.3,0.1,0.1,0.1,0.2
Dacoity with murder,,,,,0.1
Deaths due to other causes,,,,,0.0
Deaths due to rash/negligent driving,,,,,20.9
Disclosure of identity of victims,,,,,0.0
Dowry deaths,2.3,2.3,2.2,1.6,1.4
Extortion,,,,,2.3
Forgery,,,,,3.1
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,1.7
House trespass & house breaking,,,,,16.0
Human trafficking,,,,,0.1
Hurt,154.8,123.5,131.5,131.1,1.7
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,28.5
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.1
Insult to the modesty of women,29.6,47.9,56.5,61.6,28.6
Kidnapping,,,,,0.9
Kidnapping & abduction,8.6,4.7,4.4,4.8,2.8
Kidnapping & abduction in order to murder,,,,,0.1
Kidnapping & abduction of others,2.2,1.3,,1.8,
Kidnapping & abduction of women and girls,8.8,6.8,5.3,6.1,
Kidnapping & abduction of women to compel her for marriage,,,,,1.5
Kidnapping for ransom,,,,,0.1
Kidnapping of others,,,1.8,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,3.3,2.3,2.8,1.9,1.5
Offences against state,,,,,0.1
Offences promoting enmity between different groups,,,,,0.1
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,60.0,54.2,72.7,91.1,123.1
Other cases of assault on women to outrage her modesty,,,,,16.8
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,1.1
Other rape,3.4,5.0,6.3,6.5,0.03333333333333333
Other rape other than custodial,,,,,8.6
Other theft,77.6,61.8,54.9,93.2,89.3
Political riots,,,,,0.0
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.1
Rape,3.4,5.0,6.3,6.5,8.6
Rape other than custodial,,,,,8.6
Riots,0.8,0.1,1.1,0.4,0.1
Riots others,,,,,0.1
Robbery,2.0,2.3,4.0,4.4,3.2
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.1
Sexual harassment,,,,,5.4
Sexual harassment and molestation of women,52.8,81.4,86.6,95.2,66.3
Stalking,,,,,12.3
Student riots,,,,,0.0
Theft,131.0,102.7,92.9,145.7,135.2
Total cognizable crimes under IPC,577.0,484.6,515.5,602.1,528.2
Unlawful assembly,,,,,1.7
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,2.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.8
Voyeurism,,,,,1.2
