,rate,rate,rate,rate,rate
year,2010,2011,2012,2013,2014
crime_name,,,,,
Acid attack,,,,,0.1
Agrarian riots,,,,,0.0
Arson,2.1,0.6,0.6,1.2,0.8
Assault on women with intent to outrage her modesty,6.9,3.6,2.7,17.4,17.2
Attempt to acid attack,,,,,0.0
Attempt to commit culpable homicide not amounting to murder,,,,,0.0
Attempt to commit murder,1.9,2.0,1.6,2.9,3.3
Attempt to commit rape,,,,,0.0
Auto theft,10.1,22.7,17.4,19.2,23.2
Burglary,25.2,16.4,21.2,20.5,22.7
Caste conflict riots,,,,,0.0
Causing death by negligence,35.1,23.7,22.8,21.9,20.8
Causing injuries under rash driving/road rage,,,,,105.8
Cheating,22.1,14.1,14.6,19.4,23.9
Communal riots,,,,,0.0
Counterfeit currency & bank notes total,,,,,0.4
Counterfeiting,1.2,0.2,0.3,0.1,0.4
Counterfeiting currency - notes or bank notes,,,,,0.4
Counterfeiting government stamp,,,,,0.0
Criminal breach of trust,5.6,3.3,3.9,3.7,4.1
Criminal trespass/burglary,,,,,19.3
Cruelty by husband or his relatives,46.0,45.2,48.2,64.1,43.4
Culpable homicide not amounting to murder,0.3,0.3,0.1,0.1,0.0
Custodial rape,0.0,0.0,0.0,0.0,0.0
Dacoity,0.6,0.8,0.8,0.3,0.2
Dacoity with murder,,,,,0.0
Deaths due to other causes,,,,,0.4
Deaths due to rash/negligent driving,,,,,20.4
Disclosure of identity of victims,,,,,0.0
Dowry deaths,1.3,1.4,1.3,0.9,1.5
Extortion,,,,,0.5
Forgery,,,,,0.2
Gang rape,,,,,0.0
Gang rape other than custodial,,,,,0.0
Grievous hurt,,,,,3.6
House trespass & house breaking,,,,,3.4
Human trafficking,,,,,0.0
Hurt,183.8,75.6,69.8,78.4,3.7
Importation of girls from foreign country,0.0,0.0,0.0,0.0,0.0
Imputation or assertions prejudicial to national integration,,,,,0.0
Industrial riots,,,,,0.0
Insult to modesty of women at office premises,,,,,0.0
Insult to modesty of women at other places,,,,,13.1
Insult to modesty of women in other places related to work,,,,,0.0
Insult to modesty of women in public transport system,,,,,0.0
Insult to the modesty of women,6.1,5.9,1.3,11.7,13.1
Kidnapping,,,,,7.5
Kidnapping & abduction,2.6,2.9,1.6,3.4,7.5
Kidnapping & abduction in order to murder,,,,,0.0
Kidnapping & abduction of others,0.8,0.1,,0.5,
Kidnapping & abduction of women and girls,2.8,5.6,2.3,5.9,
Kidnapping & abduction of women to compel her for marriage,,,,,0.0
Kidnapping for ransom,,,,,0.0
Kidnapping of others,,,0.4,,
Making or possessing materials for forged currency/bank notes,,,,,0.0
Making or using documents resembling currency notes/bank notes,,,,,0.0
Making preparation and assembly for committing dacoity,,,,,0.0
Murder,1.8,2.3,2.5,1.7,2.2
Offences against state,,,,,0.0
Offences promoting enmity between different groups,,,,,0.0
Offences related to counterfeit coin,,,,,0.0
Other IPC crimes,114.1,33.4,34.7,116.1,127.3
Other cases of assault on women to outrage her modesty,,,,,8.2
Other caste conflict riots,,,,,0.0
Other kidnapping & abduction,,,,,0.0
Other rape,6.2,6.7,5.9,7.8,0.06666666666666667
Other rape other than custodial,,,,,9.8
Other theft,82.8,51.5,44.0,50.3,55.3
Political riots,,,,,0.2
Possession of forged or counterfeiting currency/bank notes,,,,,0.0
Preparation & assembly for dacoity,0.0,0.0,0.0,0.0,
"Promoting enmity between different groups on ground of religion, race, place of birth, etc.",,,,,0.0
Rape,6.2,6.7,5.9,7.8,9.8
Rape other than custodial,,,,,9.8
Riots,0.2,0.2,0.7,0.5,0.2
Riots others,,,,,0.0
Robbery,3.0,1.6,1.6,1.5,2.7
SCs/STs vs Non-SCs/STs riots,,,,,0.0
Sectarian riots,,,,,0.0
Sedition,,,,,0.0
Sexual harassment,,,,,5.8
Sexual harassment and molestation of women,13.0,9.5,4.0,29.1,30.3
Stalking,,,,,3.2
Student riots,,,,,0.0
Theft,92.9,74.2,61.4,69.5,78.5
Total cognizable crimes under IPC,535.1,282.4,267.4,391.6,446.7
Unlawful assembly,,,,,0.0
Unnatural offences,,,,,0.0
Use of criminal force with intent to disrobe women,,,,,0.0
"Using as genuine, forged or counterfeiting currency/bank notes",,,,,0.0
Voyeurism,,,,,0.0
